"year","geography","filename","less_than_ninth_grade","percent_less_than_ninth_grade","four_year_college_or_more","percent_four_year_college_or_more","total","notes"
1970,"country","nhgis0023_ts_nominal_1970_county.csv",32052012,28.4925,11936392,10.6108,112492962,"-"
1970,"durham_county","nhgis0023_ts_nominal_1970_county.csv",21846,31.4462,10836,15.5979,69471,"-"
1970,"state","nhgis0023_ts_nominal_1970_county.csv",983233,37.1554,223626,8.4506,2646272,"-"
1980,"country","nhgis0023_ts_nominal_1980_county.csv",25079165,18.4165,22001709,16.1566,136177881,"-"
1980,"durham_county","nhgis0023_ts_nominal_1980_county.csv",16324,18.4402,21344,24.111,88524,"-"
1980,"state","nhgis0023_ts_nominal_1980_county.csv",835620,24.5538,450423,13.2352,3403219,"-"
1990,"country","nhgis0023_ts_nominal_1990_county.csv",17032857,10.4464,33038733,20.263,163049518,"-"
1990,"durham_county","nhgis0023_ts_nominal_1990_county.csv",9710,8.3341,38910,33.3966,116509,"-"
1990,"state","nhgis0023_ts_nominal_1990_county.csv",539974,12.6948,739049,17.3751,4253494,"-"
2000,"country","nhgis0023_ts_nominal_2000_county.csv",14161206,7.5564,45632689,24.3494,187407998,"-"
2000,"durham_county","nhgis0023_ts_nominal_2000_county.csv",9365,6.5123,57728,40.1435,143804,"-"
2000,"state","nhgis0023_ts_nominal_2000_county.csv",413495,7.8269,1186713,22.4629,5282994,"-"
2012,"country","nhgis0023_ts_nominal_20125_county.csv",13215456,6.2044,60428758,28.3701,213001207,"5-year ACS average"
2012,"durham_county","nhgis0023_ts_nominal_20125_county.csv",9972,5.6381,79128,44.7384,176868,"5-year ACS average"
2012,"state","nhgis0023_ts_nominal_20125_county.csv",373691,5.909,1696645,26.8282,6324119,"5-year ACS average"
