GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A68AA2000,CL5AA2000,B69AA2000,B69AB2000,B69AC2000,B84AA2000,B84AB2000,B84AC2000,B84AD2000,B84AE2000,B84AF2000
"G0100010","2000","Alabama","01","010","Autauga County","001","0010","Autauga County",12353,38504,1588,21029,4972,21167,566,20601,19595,1006,11323
"G0100030","2000","Alabama","01","010","Baldwin County","003","0030","Baldwin County",40260,118540,4197,69667,22146,65960,209,65751,62938,2813,44295
"G0100050","2000","Alabama","01","010","Barbour County","005","0050","Barbour County",7393,22511,2442,14386,2068,10826,21,10805,10193,612,11720
"G0100070","2000","Alabama","01","010","Bibb County","007","0070","Bibb County",5581,17206,1783,10795,962,8521,24,8497,7967,530,7590
"G0100090","2000","Alabama","01","010","Blount County","009","0090","Blount County",14807,44729,3726,26741,3235,23896,38,23858,22701,1157,15554
"G0100110","2000","Alabama","01","010","Bullock County","011","0110","Bullock County",2731,8559,1145,5839,586,3773,10,3763,3441,322,5296
"G0100130","2000","Alabama","01","010","Butler County","013","0130","Butler County",5872,17989,1747,10587,1433,8986,28,8958,8006,952,7494
"G0100150","2000","Alabama","01","010","Calhoun County","015","0150","Calhoun County",31300,91928,6158,56592,11265,51402,172,51230,47856,3374,37476
"G0100170","2000","Alabama","01","010","Chambers County","017","0170","Chambers County",10197,30701,3057,19101,2339,16807,18,16789,15695,1094,11896
"G0100190","2000","Alabama","01","010","Cherokee County","019","0190","Cherokee County",7202,20601,2322,12867,1636,10607,17,10590,10180,410,8693
"G0100210","2000","Alabama","01","010","Chilton County","021","0210","Chilton County",11339,34046,3145,20183,2574,18240,19,18221,17437,784,12305
"G0100230","2000","Alabama","01","010","Choctaw County","023","0230","Choctaw County",4573,13670,1648,7908,1013,6019,24,5995,5469,526,6350
"G0100250","2000","Alabama","01","010","Clarke County","025","0250","Clarke County",7699,24088,1734,13831,2137,11359,2,11357,10343,1014,9578
"G0100270","2000","Alabama","01","010","Clay County","027","0270","Clay County",4098,11995,1197,7807,763,6284,11,6273,5930,343,4959
"G0100290","2000","Alabama","01","010","Cleburne County","029","0290","Cleburne County",4128,12185,1242,7412,879,6540,5,6535,6188,347,4595
"G0100310","2000","Alabama","01","010","Coffee County","031","0310","Coffee County",12485,36602,2928,20383,5574,20319,1333,18986,17905,1081,13780
"G0100330","2000","Alabama","01","010","Colbert County","033","0330","Colbert County",16038,46756,3156,28955,5273,24388,38,24350,23093,1257,19010
"G0100350","2000","Alabama","01","010","Conecuh County","035","0350","Conecuh County",3941,11845,1133,7246,851,5392,0,5392,4863,529,5485
"G0100370","2000","Alabama","01","010","Coosa County","037","0370","Coosa County",3407,10165,844,6748,663,5220,10,5210,4841,369,4389
"G0100390","2000","Alabama","01","010","Covington County","039","0390","Covington County",10788,31337,3474,19089,3142,16630,64,16566,15304,1262,13110
"G0100410","2000","Alabama","01","010","Crenshaw County","041","0410","Crenshaw County",3891,11508,1504,6725,1039,5795,22,5773,5463,310,4922
"G0100430","2000","Alabama","01","010","Cullman County","043","0430","Cullman County",22487,66161,5790,39835,6162,36654,49,36605,35092,1513,24247
"G0100450","2000","Alabama","01","010","Dale County","045","0450","Dale County",13637,40747,2393,24599,4398,23308,2947,20361,18803,1558,14121
"G0100470","2000","Alabama","01","010","Dallas County","047","0470","Dallas County",12494,39308,3096,21642,4004,17342,18,17324,15391,1933,17359
"G0100490","2000","Alabama","01","010","DeKalb County","049","0490","DeKalb County",18440,54910,6157,33055,3528,30903,41,30862,29280,1582,19344
"G0100510","2000","Alabama","01","010","Elmore County","051","0510","Elmore County",17542,53768,2740,33264,7173,30056,622,29434,27970,1464,20878
"G0100530","2000","Alabama","01","010","Escambia County","053","0530","Escambia County",10088,30167,2569,20248,2693,15714,18,15696,14598,1098,14487
"G0100550","2000","Alabama","01","010","Etowah County","055","0550","Etowah County",29467,86396,6023,54434,9372,46225,45,46180,43426,2754,35510
"G0100570","2000","Alabama","01","010","Fayette County","057","0570","Fayette County",5342,15599,1699,9723,1157,8018,13,8005,7391,614,6585
"G0100590","2000","Alabama","01","010","Franklin County","059","0590","Franklin County",8954,26616,3156,15683,2021,13862,0,13862,13089,773,10631
"G0100610","2000","Alabama","01","010","Geneva County","061","0610","Geneva County",7457,21787,2334,13728,1526,11799,54,11745,10809,936,8546
"G0100630","2000","Alabama","01","010","Greene County","063","0630","Greene County",2651,8371,955,4597,652,3578,0,3578,3109,469,3886
"G0100650","2000","Alabama","01","010","Hale County","065","0650","Hale County",4606,14683,1412,8321,858,6349,0,6349,5842,507,6398
"G0100670","2000","Alabama","01","010","Henry County","067","0670","Henry County",4728,13929,1337,8085,1545,7237,0,7237,6780,457,5583
"G0100690","2000","Alabama","01","010","Houston County","069","0690","Houston County",25113,74181,4897,42957,10817,42720,138,42582,40355,2227,25785
"G0100710","2000","Alabama","01","010","Jackson County","071","0710","Jackson County",15830,46213,4762,27875,3798,26344,11,26333,24982,1351,16128
"G0100730","2000","Alabama","01","010","Jefferson County","073","0730","Jefferson County",175950,535038,24300,303025,106833,317658,523,317135,297123,20012,198683
"G0100750","2000","Alabama","01","010","Lamar County","075","0750","Lamar County",4715,13635,1417,8503,838,7056,9,7047,6547,500,5566
"G0100770","2000","Alabama","01","010","Lauderdale County","077","0770","Lauderdale County",25163,72749,5058,42955,10881,41297,65,41232,38923,2309,28767
"G0100790","2000","Alabama","01","010","Lawrence County","079","0790","Lawrence County",10197,30518,2838,18333,1723,15774,7,15767,14784,983,11159
"G0100810","2000","Alabama","01","010","Lee County","081","0810","Lee County",27270,82535,3600,41219,17351,56547,326,56221,52980,3241,34656
"G0100830","2000","Alabama","01","010","Limestone County","083","0830","Limestone County",18231,54980,3976,32131,7349,31103,71,31032,29709,1323,20015
"G0100850","2000","Alabama","01","010","Lowndes County","085","0850","Lowndes County",3588,11758,1176,6106,901,5061,16,5045,4443,602,4841
"G0100870","2000","Alabama","01","010","Macon County","087","0870","Macon County",5543,17348,1545,9793,2617,9293,20,9273,8133,1140,9402
"G0100890","2000","Alabama","01","010","Madison County","089","0890","Madison County",75342,225885,8389,110186,61814,144342,1233,143109,134916,8193,69273
"G0100910","2000","Alabama","01","010","Marengo County","091","0910","Marengo County",6280,19340,1429,11165,1732,8837,37,8800,8031,769,8012
"G0100930","2000","Alabama","01","010","Marion County","093","0930","Marion County",9040,25969,3265,16627,1719,14005,5,14000,12868,1132,10946
"G0100950","2000","Alabama","01","010","Marshall County","095","0950","Marshall County",23527,69534,6492,40830,7639,38900,58,38842,36609,2233,25309
"G0100970","2000","Alabama","01","010","Mobile County","097","0970","Mobile County",106745,334202,16722,186775,46625,179280,1084,178196,164654,13542,122579
"G0100990","2000","Alabama","01","010","Monroe County","099","0990","Monroe County",6774,20964,1716,11849,1813,10010,18,9992,9155,837,8206
"G0101010","2000","Alabama","01","010","Montgomery County","101","1010","Montgomery County",56807,174007,8357,92691,40294,105480,2830,102650,95811,6839,66486
"G0101030","2000","Alabama","01","010","Morgan County","103","1030","Morgan County",31445,94078,5958,53883,13490,53569,68,53501,50604,2897,32505
"G0101050","2000","Alabama","01","010","Perry County","105","1050","Perry County",3046,9829,990,5287,701,4083,3,4080,3480,600,4681
"G0101070","2000","Alabama","01","010","Pickens County","107","1070","Pickens County",5790,17986,1510,10703,1323,8335,6,8329,7644,685,7576
"G0101090","2000","Alabama","01","010","Pike County","109","1090","Pike County",7646,22782,2095,12344,3264,14089,106,13983,12684,1299,9154
"G0101110","2000","Alabama","01","010","Randolph County","111","1110","Randolph County",6225,18818,2009,11274,1479,9639,0,9639,9124,515,7643
"G0101130","2000","Alabama","01","010","Russell County","113","1130","Russell County",13424,40891,3774,25223,3110,21672,427,21245,19902,1343,16280
"G0101150","2000","Alabama","01","010","St. Clair County","115","1150","St. Clair County",18437,55418,4003,34307,4791,29492,54,29438,28213,1225,20512
"G0101170","2000","Alabama","01","010","Shelby County","117","1170","Shelby County",40617,123597,3868,55668,34649,77111,232,76879,74604,2275,32506
"G0101190","2000","Alabama","01","010","Sumter County","119","1190","Sumter County",3665,11948,1287,6358,1086,5229,7,5222,4624,598,5748
"G0101210","2000","Alabama","01","010","Talladega County","121","1210","Talladega County",21911,65642,5308,41801,5951,34585,15,34570,31894,2676,28035
"G0101230","2000","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa County",11807,34655,2729,21632,4012,18402,58,18344,17232,1112,14078
"G0101250","2000","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa County",41689,125179,6418,68817,23804,79425,138,79287,74397,4890,51327
"G0101270","2000","Alabama","01","010","Walker County","127","1270","Walker County",20469,59990,5603,37940,4376,29868,34,29834,27911,1923,26198
"G0101290","2000","Alabama","01","010","Washington County","129","1290","Washington County",5042,15987,1213,9058,969,7356,15,7341,6778,563,6141
"G0101310","2000","Alabama","01","010","Wilcox County","131","1310","Wilcox County",3378,11197,1098,6072,809,4064,6,4058,3441,617,5604
"G0101330","2000","Alabama","01","010","Winston County","133","1330","Winston County",7286,21092,2700,12967,1411,11367,11,11356,10646,710,8177
"G0200130","2000","Alaska","02","020","Aleutians East Borough","013","0130","Aleutians East Borough",344,1136,219,1690,98,1854,0,1854,1086,768,483
"G0200160","2000","Alaska","02","020","Aleutians West Census Area","016","0160","Aleutians West Census Area",736,2401,424,3358,469,3788,63,3725,3252,473,849
"G0200200","2000","Alaska","02","020","Anchorage Municipality","020","0200","Anchorage Municipality",64131,204630,4913,108778,46240,143350,8503,134847,125737,9110,49432
"G0200500","2000","Alaska","02","020","Bethel Census Area","050","0500","Bethel Census Area",3175,14004,1427,5549,1050,6446,29,6417,5481,936,3823
"G0200600","2000","Alaska","02","020","Bristol Bay Borough","060","0600","Bristol Bay Borough",301,1003,35,582,165,649,0,649,581,68,259
"G0200680","2000","Alaska","02","020","Denali Borough","068","0680","Denali Borough",453,1371,43,974,299,1065,114,951,841,110,440
"G0200700","2000","Alaska","02","020","Dillingham Census Area","070","0700","Dillingham Census Area",1106,4246,356,1863,436,2007,12,1995,1765,230,1209
"G0200900","2000","Alaska","02","020","Fairbanks North Star Borough","090","0900","Fairbanks North Star Borough",20502,65566,1037,33969,12968,45008,6215,38793,35258,3535,15610
"G0201000","2000","Alaska","02","020","Haines Borough","100","1000","Haines Borough",654,1923,49,1216,395,1149,0,1149,992,157,715
"G0201100","2000","Alaska","02","020","Juneau City and Borough","110","1100","Juneau City and Borough",7638,23668,373,12359,7167,17623,151,17472,16537,935,5719
"G0201220","2000","Alaska","02","020","Kenai Peninsula Borough","122","1220","Kenai Peninsula Borough",12716,40108,985,24041,6362,23116,122,22994,20364,2630,13665
"G0201300","2000","Alaska","02","020","Ketchikan Gateway Borough","130","1300","Ketchikan Gateway Borough",3634,11272,205,6980,1814,7772,174,7598,7017,581,2795
"G0201500","2000","Alaska","02","020","Kodiak Island Borough","150","1500","Kodiak Island Borough",3257,11456,574,6078,1535,7262,796,6466,6131,335,2532
"G0201640","2000","Alaska","02","020","Lake and Peninsula Borough","164","1640","Lake and Peninsula Borough",418,1563,162,697,122,678,0,678,581,97,546
"G0201700","2000","Alaska","02","020","Matanuska-Susitna Borough","170","1700","Matanuska-Susitna Borough",15057,49470,1056,28141,6524,28223,375,27848,24981,2867,14482
"G0201800","2000","Alaska","02","020","Nome Census Area","180","1800","Nome Census Area",1899,7619,714,3478,724,3745,30,3715,3107,608,2431
"G0201850","2000","Alaska","02","020","North Slope Borough","185","1850","North Slope Borough",1524,6179,457,2766,660,3518,3,3515,2990,525,1357
"G0201880","2000","Alaska","02","020","Northwest Arctic Borough","188","1880","Northwest Arctic Borough",1405,6128,504,2550,444,2877,3,2874,2427,447,1658
"G0202010","2000","Alaska","02","020","Prince Of Wales-Outer Ketchikan","201","2010","Prince of Wales-Outer Ketchikan Census Area",1537,4993,87,3172,538,3075,0,3075,2614,461,1402
