GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A68AA2010,CL5AA2010
"G0100010","2010","Alabama","01","010","Autauga County","001","0010","Autauga County",15064,47100
"G0100030","2010","Alabama","01","010","Baldwin County","003","0030","Baldwin County",51151,149998
"G0100050","2010","Alabama","01","010","Barbour County","005","0050","Barbour County",6721,20221
"G0100070","2010","Alabama","01","010","Bibb County","007","0070","Bibb County",5748,17785
"G0100090","2010","Alabama","01","010","Blount County","009","0090","Blount County",16175,49658
"G0100110","2010","Alabama","01","010","Bullock County","011","0110","Bullock County",2387,7441
"G0100130","2010","Alabama","01","010","Butler County","013","0130","Butler County",5739,17212
"G0100150","2010","Alabama","01","010","Calhoun County","015","0150","Calhoun County",31609,93942
"G0100170","2010","Alabama","01","010","Chambers County","017","0170","Chambers County",9391,27854
"G0100190","2010","Alabama","01","010","Cherokee County","019","0190","Cherokee County",7493,21683
"G0100210","2010","Alabama","01","010","Chilton County","021","0210","Chilton County",12092,37058
"G0100230","2010","Alabama","01","010","Choctaw County","023","0230","Choctaw County",3873,11432
"G0100250","2010","Alabama","01","010","Clarke County","025","0250","Clarke County",7204,21753
"G0100270","2010","Alabama","01","010","Clay County","027","0270","Clay County",3978,11597
"G0100290","2010","Alabama","01","010","Cleburne County","029","0290","Cleburne County",4196,12552
"G0100310","2010","Alabama","01","010","Coffee County","031","0310","Coffee County",13837,41166
"G0100330","2010","Alabama","01","010","Colbert County","033","0330","Colbert County",15442,44821
"G0100350","2010","Alabama","01","010","Conecuh County","035","0350","Conecuh County",3717,10870
"G0100370","2010","Alabama","01","010","Coosa County","037","0370","Coosa County",3293,9506
"G0100390","2010","Alabama","01","010","Covington County","039","0390","Covington County",10539,30712
"G0100410","2010","Alabama","01","010","Crenshaw County","041","0410","Crenshaw County",3882,11529
"G0100430","2010","Alabama","01","010","Cullman County","043","0430","Cullman County",22487,66921
"G0100450","2010","Alabama","01","010","Dale County","045","0450","Dale County",13721,40888
"G0100470","2010","Alabama","01","010","Dallas County","047","0470","Dallas County",11440,35899
"G0100490","2010","Alabama","01","010","DeKalb County","049","0490","DeKalb County",19361,60298
"G0100510","2010","Alabama","01","010","Elmore County","051","0510","Elmore County",21003,63892
"G0100530","2010","Alabama","01","010","Escambia County","053","0530","Escambia County",9705,29253
"G0100550","2010","Alabama","01","010","Etowah County","055","0550","Etowah County",28708,85185
"G0100570","2010","Alabama","01","010","Fayette County","057","0570","Fayette County",4916,14228
"G0100590","2010","Alabama","01","010","Franklin County","059","0590","Franklin County",8741,26702
"G0100610","2010","Alabama","01","010","Geneva County","061","0610","Geneva County",7617,22269
"G0100630","2010","Alabama","01","010","Greene County","063","0630","Greene County",2372,7343
"G0100650","2010","Alabama","01","010","Hale County","065","0650","Hale County",4245,12944
"G0100670","2010","Alabama","01","010","Henry County","067","0670","Henry County",4975,14550
"G0100690","2010","Alabama","01","010","Houston County","069","0690","Houston County",28041,83042
"G0100710","2010","Alabama","01","010","Jackson County","071","0710","Jackson County",15209,44622
"G0100730","2010","Alabama","01","010","Jefferson County","073","0730","Jefferson County",170207,519490
"G0100750","2010","Alabama","01","010","Lamar County","075","0750","Lamar County",4207,12114
"G0100770","2010","Alabama","01","010","Lauderdale County","077","0770","Lauderdale County",25669,74303
"G0100790","2010","Alabama","01","010","Lawrence County","079","0790","Lawrence County",9985,29443
"G0100810","2010","Alabama","01","010","Lee County","081","0810","Lee County",33692,102165
"G0100830","2010","Alabama","01","010","Limestone County","083","0830","Limestone County",22876,68610
"G0100850","2010","Alabama","01","010","Lowndes County","085","0850","Lowndes County",3071,9632
"G0100870","2010","Alabama","01","010","Macon County","087","0870","Macon County",5051,15191
"G0100890","2010","Alabama","01","010","Madison County","089","0890","Madison County",89150,267308
"G0100910","2010","Alabama","01","010","Marengo County","091","0910","Marengo County",5787,17432
"G0100930","2010","Alabama","01","010","Marion County","093","0930","Marion County",8676,24893
"G0100950","2010","Alabama","01","010","Marshall County","095","0950","Marshall County",25328,77377
"G0100970","2010","Alabama","01","010","Mobile County","097","0970","Mobile County",108393,337191
"G0100990","2010","Alabama","01","010","Monroe County","099","0990","Monroe County",6410,19291
"G0101010","2010","Alabama","01","010","Montgomery County","101","1010","Montgomery County",57876,177357
"G0101030","2010","Alabama","01","010","Morgan County","103","1030","Morgan County",33135,99011
"G0101050","2010","Alabama","01","010","Perry County","105","1050","Perry County",2663,8244
"G0101070","2010","Alabama","01","010","Pickens County","107","1070","Pickens County",5409,16245
"G0101090","2010","Alabama","01","010","Pike County","109","1090","Pike County",7759,22782
"G0101110","2010","Alabama","01","010","Randolph County","111","1110","Randolph County",6357,18921
"G0101130","2010","Alabama","01","010","Russell County","113","1130","Russell County",14085,42729
"G0101150","2010","Alabama","01","010","St. Clair County","115","1150","St. Clair County",23364,70527
"G0101170","2010","Alabama","01","010","Shelby County","117","1170","Shelby County",53733,165585
"G0101190","2010","Alabama","01","010","Sumter County","119","1190","Sumter County",3385,10220
"G0101210","2010","Alabama","01","010","Talladega County","121","1210","Talladega County",22191,66167
"G0101230","2010","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa County",11762,34194
"G0101250","2010","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa County",46304,139753
"G0101270","2010","Alabama","01","010","Walker County","127","1270","Walker County",18741,55740
"G0101290","2010","Alabama","01","010","Washington County","129","1290","Washington County",4918,15141
"G0101310","2010","Alabama","01","010","Wilcox County","131","1310","Wilcox County",3110,9853
"G0101330","2010","Alabama","01","010","Winston County","133","1330","Winston County",7074,20260
"G0200130","2010","Alaska","02","020","Aleutians East Borough","013","0130","Aleutians East Borough",363,1104
"G0200160","2010","Alaska","02","020","Aleutians West Census Area","016","0160","Aleutians West Census Area",711,2262
"G0200200","2010","Alaska","02","020","Anchorage Municipality","020","0200","Anchorage Municipality",70544,224710
"G0200500","2010","Alaska","02","020","Bethel Census Area","050","0500","Bethel Census Area",3436,14489
"G0200600","2010","Alaska","02","020","Bristol Bay Borough","060","0600","Bristol Bay Borough",249,729
"G0200680","2010","Alaska","02","020","Denali Borough","068","0680","Denali Borough",454,1350
"G0200700","2010","Alaska","02","020","Dillingham Census Area","070","0700","Dillingham Census Area",1077,4006
"G0200900","2010","Alaska","02","020","Fairbanks North Star Borough","090","0900","Fairbanks North Star Borough",23726,74228
"G0201000","2010","Alaska","02","020","Haines Borough","100","1000","Haines Borough",682,1869
"G0201050","2010","Alaska","02","020","Hoonah-Angoon Census Area","105","1050","Hoonah-Angoon Census Area",580,1701
"G0201100","2010","Alaska","02","020","Juneau City and Borough","110","1100","Juneau City and Borough",7742,23454
"G0201220","2010","Alaska","02","020","Kenai Peninsula Borough","122","1220","Kenai Peninsula Borough",14238,42476
"G0201300","2010","Alaska","02","020","Ketchikan Gateway Borough","130","1300","Ketchikan Gateway Borough",3369,10228
"G0201500","2010","Alaska","02","020","Kodiak Island Borough","150","1500","Kodiak Island Borough",3233,10812
"G0201640","2010","Alaska","02","020","Lake and Peninsula Borough","164","1640","Lake and Peninsula Borough",393,1329
"G0201700","2010","Alaska","02","020","Matanuska-Susitna Borough","170","1700","Matanuska-Susitna Borough",22579,72946
"G0201800","2010","Alaska","02","020","Nome Census Area","180","1800","Nome Census Area",1981,7751
"G0201850","2010","Alaska","02","020","North Slope Borough","185","1850","North Slope Borough",1443,5678
"G0201880","2010","Alaska","02","020","Northwest Arctic Borough","188","1880","Northwest Arctic Borough",1428,6163
"G0201950","2010","Alaska","02","020","Petersburg Census Area","195","1950","Petersburg Census Area",1027,2992
"G0201980","2010","Alaska","02","020","Prince of Wales-Hyder Census Area","198","1980","Prince of Wales-Hyder Census Area",1406,4334
"G0202200","2010","Alaska","02","020","Sitka City and Borough","220","2200","Sitka City and Borough",2211,6653
"G0202300","2010","Alaska","02","020","Skagway Municipality","230","2300","Skagway Municipality",234,638
"G0202400","2010","Alaska","02","020","Southeast Fairbanks Census Area","240","2400","Southeast Fairbanks Census Area",1708,5438
"G0202610","2010","Alaska","02","020","Valdez-Cordova Census Area","261","2610","Valdez-Cordova Census Area",2414,7299
"G0202700","2010","Alaska","02","020","Wade Hampton Census Area","270","2700","Wade Hampton Census Area",1419,6732
"G0202750","2010","Alaska","02","020","Wrangell City and Borough","275","2750","Wrangell City and Borough",629,1775
"G0202820","2010","Alaska","02","020","Yakutat City and Borough","282","2820","Yakutat City and Borough",156,478
"G0202900","2010","Alaska","02","020","Yukon-Koyukuk Census Area","290","2900","Yukon-Koyukuk Census Area",1318,4238
"G0400010","2010","Arizona","04","040","Apache County","001","0010","Apache County",16331,61403
"G0400030","2010","Arizona","04","040","Cochise County","003","0030","Cochise County",33653,101617
"G0400050","2010","Arizona","04","040","Coconino County","005","0050","Coconino County",29656,96825
"G0400070","2010","Arizona","04","040","Gila County","007","0070","Gila County",14294,41963
"G0400090","2010","Arizona","04","040","Graham County","009","0090","Graham County",8188,28645
"G0400110","2010","Arizona","04","040","Greenlee County","011","0110","Greenlee County",2152,6907
"G0400120","2010","Arizona","04","040","La Paz County","012","0120","La Paz County",5584,15201
"G0400130","2010","Arizona","04","040","Maricopa County","013","0130","Maricopa County",932814,3028193
"G0400150","2010","Arizona","04","040","Mohave County","015","0150","Mohave County",54036,154375
"G0400170","2010","Arizona","04","040","Navajo County","017","0170","Navajo County",25923,90619
"G0400190","2010","Arizona","04","040","Pima County","019","0190","Pima County",243167,743277
"G0400210","2010","Arizona","04","040","Pinal County","021","0210","Pinal County",92157,295671
"G0400230","2010","Arizona","04","040","Santa Cruz County","023","0230","Santa Cruz County",11992,42141
"G0400250","2010","Arizona","04","040","Yavapai County","025","0250","Yavapai County",57597,160287
"G0400270","2010","Arizona","04","040","Yuma County","027","0270","Yuma County",48976,165786
"G0500010","2010","Arkansas","05","050","Arkansas County","001","0010","Arkansas County",5306,15212
"G0500030","2010","Arkansas","05","050","Ashley County","003","0030","Ashley County",6227,18421
"G0500050","2010","Arkansas","05","050","Baxter County","005","0050","Baxter County",12365,32835
"G0500070","2010","Arkansas","05","050","Benton County","007","0070","Benton County",59471,186812
"G0500090","2010","Arkansas","05","050","Boone County","009","0090","Boone County",10450,30308
"G0500110","2010","Arkansas","05","050","Bradley County","011","0110","Bradley County",3135,9395
"G0500130","2010","Arkansas","05","050","Calhoun County","013","0130","Calhoun County",1495,4259
"G0500150","2010","Arkansas","05","050","Carroll County","015","0150","Carroll County",7503,21873
"G0500170","2010","Arkansas","05","050","Chicot County","017","0170","Chicot County",2983,9069
"G0500190","2010","Arkansas","05","050","Clark County","019","0190","Clark County",5589,16056
"G0500210","2010","Arkansas","05","050","Clay County","021","0210","Clay County",4540,12977
"G0500230","2010","Arkansas","05","050","Cleburne County","023","0230","Cleburne County",7610,21076
"G0500250","2010","Arkansas","05","050","Cleveland County","025","0250","Cleveland County",2523,7515
"G0500270","2010","Arkansas","05","050","Columbia County","027","0270","Columbia County",6305,18651
"G0500290","2010","Arkansas","05","050","Conway County","029","0290","Conway County",5891,17553
"G0500310","2010","Arkansas","05","050","Craighead County","031","0310","Craighead County",24884,75073
"G0500330","2010","Arkansas","05","050","Crawford County","033","0330","Crawford County",17204,52718
"G0500350","2010","Arkansas","05","050","Crittenden County","035","0350","Crittenden County",13293,42332
"G0500370","2010","Arkansas","05","050","Cross County","037","0370","Cross County",4899,14790
"G0500390","2010","Arkansas","05","050","Dallas County","039","0390","Dallas County",2186,6331
"G0500410","2010","Arkansas","05","050","Desha County","041","0410","Desha County",3588,10712
"G0500430","2010","Arkansas","05","050","Drew County","043","0430","Drew County",4936,14472
"G0500450","2010","Arkansas","05","050","Faulkner County","045","0450","Faulkner County",28867,87777
"G0500470","2010","Arkansas","05","050","Franklin County","047","0470","Franklin County",5011,14973
"G0500490","2010","Arkansas","05","050","Fulton County","049","0490","Fulton County",3529,9964
"G0500510","2010","Arkansas","05","050","Garland County","051","0510","Garland County",26510,74376
"G0500530","2010","Arkansas","05","050","Grant County","053","0530","Grant County",5126,15243
"G0500550","2010","Arkansas","05","050","Greene County","055","0550","Greene County",11678,34695
"G0500570","2010","Arkansas","05","050","Hempstead County","057","0570","Hempstead County",6107,18574
"G0500590","2010","Arkansas","05","050","Hot Spring County","059","0590","Hot Spring County",8969,26343
"G0500610","2010","Arkansas","05","050","Howard County","061","0610","Howard County",3791,11553
"G0500630","2010","Arkansas","05","050","Independence County","063","0630","Independence County",10009,29621
"G0500650","2010","Arkansas","05","050","Izard County","065","0650","Izard County",3825,10573
"G0500670","2010","Arkansas","05","050","Jackson County","067","0670","Jackson County",4427,13015
"G0500690","2010","Arkansas","05","050","Jefferson County","069","0690","Jefferson County",19416,59223
"G0500710","2010","Arkansas","05","050","Johnson County","071","0710","Johnson County",6824,20746
"G0500730","2010","Arkansas","05","050","Lafayette County","073","0730","Lafayette County",2127,6238
"G0500750","2010","Arkansas","05","050","Lawrence County","075","0750","Lawrence County",4760,13992
"G0500770","2010","Arkansas","05","050","Lee County","077","0770","Lee County",2372,7087
"G0500790","2010","Arkansas","05","050","Lincoln County","079","0790","Lincoln County",3019,9146
"G0500810","2010","Arkansas","05","050","Little River County","081","0810","Little River County",3707,10854
"G0500830","2010","Arkansas","05","050","Logan County","083","0830","Logan County",6095,18142
"G0500850","2010","Arkansas","05","050","Lonoke County","085","0850","Lonoke County",19013,58710
"G0500870","2010","Arkansas","05","050","Madison County","087","0870","Madison County",4428,13250
"G0500890","2010","Arkansas","05","050","Marion County","089","0890","Marion County",4990,13401
"G0500910","2010","Arkansas","05","050","Miller County","091","0910","Miller County",11685,34496
"G0500930","2010","Arkansas","05","050","Mississippi County","093","0930","Mississippi County",12160,37978
"G0500950","2010","Arkansas","05","050","Monroe County","095","0950","Monroe County",2216,6500
"G0500970","2010","Arkansas","05","050","Montgomery County","097","0970","Montgomery County",2767,7793
"G0500990","2010","Arkansas","05","050","Nevada County","099","0990","Nevada County",2540,7385
"G0501010","2010","Arkansas","05","050","Newton County","101","1010","Newton County",2383,6799
