GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B69AA125,B69AB125,B69AC125,B84AA125,B84AB125,B84AC125,B84AD125,B84AE125,B84AF125,B69AA125M,B69AB125M,B69AC125M,B84AA125M,B84AB125M,B84AC125M,B84AD125M,B84AE125M,B84AF125M
"G0100010","2008-2012","Alabama","01","010","Autauga County","001","0010","Autauga County, Alabama",1886,25629,7629,27107,720,26387,24125,2262,14693,351,1032,549,669,180,719,656,344,619
"G0100030","2008-2012","Alabama","01","010","Baldwin County","003","0030","Baldwin County, Alabama",5111,86853,35307,88882,304,88578,81065,7513,57160,615,2177,1324,1149,120,1155,1200,806,1163
"G0100050","2008-2012","Alabama","01","010","Barbour County","005","0050","Barbour County, Alabama",1914,14311,2757,10617,4,10613,9177,1436,11539,233,624,272,496,7,495,461,254,509
"G0100070","2008-2012","Alabama","01","010","Bibb County","007","0070","Bibb County, Alabama",1447,12675,1396,9621,0,9621,8615,1006,8516,329,805,283,532,22,532,554,251,574
"G0100090","2008-2012","Alabama","01","010","Blount County","009","0090","Blount County, Alabama",3446,30465,4792,26324,18,26306,23671,2635,18875,394,1072,439,699,22,695,720,377,695
"G0100110","2008-2012","Alabama","01","010","Bullock County","011","0110","Bullock County, Alabama",957,5718,900,4762,0,4762,4081,681,3923,281,598,229,424,19,424,397,205,423
"G0100130","2008-2012","Alabama","01","010","Butler County","013","0130","Butler County, Alabama",1151,11118,1812,9078,10,9068,7819,1249,7204,199,507,251,372,24,373,394,237,394
"G0100150","2008-2012","Alabama","01","010","Calhoun County","015","0150","Calhoun County, Alabama",5960,59799,12544,54173,234,53939,46788,7151,39807,528,1487,755,933,100,948,977,640,925
"G0100170","2008-2012","Alabama","01","010","Chambers County","017","0170","Chambers County, Alabama",1816,19201,2604,15488,4,15484,12999,2485,11876,268,784,289,504,7,504,528,326,522
"G0100190","2008-2012","Alabama","01","010","Cherokee County","019","0190","Cherokee County, Alabama",1693,14381,2429,11613,21,11592,10379,1213,9432,277,781,291,484,36,488,542,228,490
"G0100210","2008-2012","Alabama","01","010","Chilton County","021","0210","Chilton County, Alabama",2571,22766,3608,20299,1,20298,17998,2300,13705,361,992,371,549,3,549,558,380,554
"G0100230","2008-2012","Alabama","01","010","Choctaw County","023","0230","Choctaw County, Alabama",872,7597,1148,5349,0,5349,4513,836,5755,195,469,186,275,19,275,280,230,292
"G0100250","2008-2012","Alabama","01","010","Clarke County","025","0250","Clarke County, Alabama",1011,14017,2186,10389,0,10389,8654,1735,9797,211,750,277,494,22,494,557,323,488
"G0100270","2008-2012","Alabama","01","010","Clay County","027","0270","Clay County, Alabama",917,7900,856,5991,10,5981,5282,699,5036,190,494,154,340,12,338,319,177,347
