GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AYV001,AZZ001,AZZ002,AZZ003,AZZ004,AZZ005,AZZ006,AZZ007,AZZ008,AZZ009,AZZ010
"G0100010","1900","Alabama","010","Autauga","0010","Autauga",3599,589,186,39,1541,24,136,41,14,808,288
"G0100030","1900","Alabama","010","Baldwin","0030","Baldwin",2558,609,15,3,91,17,955,16,18,668,182
"G0100050","1900","Alabama","010","Barbour","0050","Barbour",7054,822,353,70,3070,29,328,39,126,1884,367
"G0100070","1900","Alabama","010","Bibb","0070","Bibb",3723,631,82,162,791,6,211,38,47,1639,105
"G0100090","1900","Alabama","010","Blount","0090","Blount",4318,1854,335,22,1300,11,149,17,29,539,76
"G0100110","1900","Alabama","010","Bullock","0110","Bullock",6746,441,121,33,4281,19,219,41,18,1496,151
"G0100130","1900","Alabama","010","Butler","0130","Butler",5093,774,396,221,1745,32,344,67,22,1202,385
"G0100150","1900","Alabama","010","Calhoun","0150","Calhoun",6715,958,194,30,1702,27,678,90,112,3087,148
"G0100170","1900","Alabama","010","Chambers","0170","Chambers",6253,907,325,41,2649,18,221,23,25,1901,214
"G0100190","1900","Alabama","010","Cherokee","0190","Cherokee",4035,1223,128,34,1523,18,133,7,39,837,121
"G0100210","1900","Alabama","010","Chilton","0210","Chilton",3217,1126,344,28,792,26,90,12,25,625,187
"G0100230","1900","Alabama","010","Choctaw","0230","Choctaw",3446,1033,278,77,1416,23,68,4,32,367,147
"G0100250","1900","Alabama","010","Clarke","0250","Clarke",5118,1375,261,290,1898,13,163,28,71,938,128
"G0100270","1900","Alabama","010","Clay","0270","Clay",3193,1491,166,20,1109,20,67,1,20,282,45
"G0100290","1900","Alabama","010","Cleburne","0290","Cleburne",2582,964,149,51,884,11,160,9,19,327,16
"G0100310","1900","Alabama","010","Coffee","0310","Coffee",3915,1159,341,24,1221,8,177,30,47,798,89
"G0100330","1900","Alabama","010","Colbert","0330","Colbert",4343,647,162,35,1484,27,413,34,51,1378,115
"G0100350","1900","Alabama","010","Conecuh","0350","Conecuh",3424,1244,291,17,818,27,159,32,41,648,179
"G0100370","1900","Alabama","010","Coosa","0370","Coosa",2984,1100,135,57,1253,9,89,1,18,268,92
"G0100390","1900","Alabama","010","Covington","0390","Covington",2941,1305,227,3,377,14,122,17,29,615,186
"G0100410","1900","Alabama","010","Crenshaw","0410","Crenshaw",3807,1081,395,36,1360,11,128,11,26,700,71
"G0100430","1900","Alabama","010","Cullman","0430","Cullman",3320,1676,443,11,761,3,148,38,10,213,32
"G0100450","1900","Alabama","010","Dale","0450","Dale",4047,1258,341,48,1293,16,187,21,30,719,171
"G0100470","1900","Alabama","010","Dallas","0470","Dallas",12554,484,253,137,6178,24,546,116,33,4214,905
"G0100490","1900","Alabama","010","DeKalb","0490","Dekalb",4508,2114,269,14,1468,18,141,14,19,437,56
"G0100510","1900","Alabama","010","Elmore","0510","Elmore",4964,823,463,163,1811,39,142,19,44,1136,455
"G0100530","1900","Alabama","010","Escambia","0530","Escambia",2173,745,34,10,159,10,370,26,59,696,94
"G0100550","1900","Alabama","010","Etowah","0550","Etowah",5111,1215,200,21,1381,11,400,22,47,1848,119
"G0100570","1900","Alabama","010","Fayette","0570","Fayette",2628,1450,173,15,721,7,42,1,2,192,49
"G0100590","1900","Alabama","010","Franklin","0590","Franklin",2977,1060,146,38,978,7,107,11,47,523,66
"G0100610","1900","Alabama","010","Geneva","0610","Geneva",3549,1271,186,226,591,16,167,15,44,830,154
"G0100630","1900","Alabama","010","Greene","0630","Greene",5520,408,165,62,3318,6,71,13,43,1281,271
"G0100650","1900","Alabama","010","Hale","0650","Hale",6846,544,380,90,2668,3,117,33,93,2458,492
"G0100670","1900","Alabama","010","Henry","0670","Henry",6844,1482,549,142,2297,24,339,50,45,1652,299
"G0100710","1900","Alabama","010","Jackson","0710","Jackson",5848,1873,223,31,2000,33,373,43,38,1122,159
"G0100730","1900","Alabama","010","Jefferson","0730","Jefferson",27350,2253,263,53,1191,6,3515,906,261,20336,743
"G0100750","1900","Alabama","010","Lamar","0750","Lamar",2966,1165,403,110,867,22,95,13,17,240,54
"G0100770","1900","Alabama","010","Lauderdale","0770","Lauderdale",5069,1314,161,129,1572,42,491,63,45,1299,146
"G0100790","1900","Alabama","010","Lawrence","0790","Lawrence",3833,956,245,99,1816,42,123,18,93,422,92
"G0100810","1900","Alabama","010","Lee","0810","Lee",6343,717,252,33,2370,18,615,40,23,2179,221
"G0100830","1900","Alabama","010","Limestone","0830","Limestone",4403,995,221,53,2239,54,190,22,34,539,116
"G0100850","1900","Alabama","010","Lowndes","0850","Lowndes",7693,348,234,122,5427,138,153,41,22,632,862
"G0100870","1900","Alabama","010","Macon","0870","Macon",4994,397,169,37,3044,18,135,25,18,1086,159
"G0100890","1900","Alabama","010","Madison","0890","Madison",8566,1268,472,77,3155,86,821,169,38,2532,261
"G0100910","1900","Alabama","010","Marengo","0910","Marengo",8268,929,360,76,3976,165,291,76,29,1564,1000
"G0100930","1900","Alabama","010","Marion","0930","Marion",2683,1451,169,17,750,14,51,3,12,170,60
"G0100950","1900","Alabama","010","Marshall","0950","Marshall",4406,1838,280,13,1559,18,126,22,17,467,116
"G0100970","1900","Alabama","010","Mobile","0970","Mobile",12645,710,23,27,85,3,3832,273,180,8321,497
"G0100990","1900","Alabama","010","Monroe","0990","Monroe",4571,1285,308,62,1778,29,39,4,45,889,112
"G0101010","1900","Alabama","010","Montgomery","1010","Montgomery",15165,573,189,73,4806,27,1355,471,34,7646,1108
"G0101030","1900","Alabama","010","Morgan","1030","Morgan",5666,1054,372,106,1437,34,614,163,44,1903,114
"G0101050","1900","Alabama","010","Perry","1050","Perry",6697,617,393,72,3432,19,282,59,18,1351,548
"G0101070","1900","Alabama","010","Pickens","1070","Pickens",5054,1140,526,39,2338,17,61,17,9,797,181
"G0101090","1900","Alabama","010","Pike","1090","Pike",5607,981,345,58,2435,14,281,60,23,1196,262
"G0101110","1900","Alabama","010","Randolph","1110","Randolph",4104,1392,280,130,1613,15,209,6,30,421,84
"G0101130","1900","Alabama","010","Russell","1130","Russell",5470,390,147,67,2478,21,295,65,28,1840,272
"G0101150","1900","Alabama","010","St Clair","1150","St Clair",3592,1190,229,17,1145,15,193,19,24,750,45
"G0101170","1900","Alabama","010","Shelby","1170","Shelby",4470,1270,153,37,973,14,347,30,66,1470,149
"G0101190","1900","Alabama","010","Sumter","1190","Sumter",6830,536,241,74,4189,20,196,30,6,1280,277
"G0101210","1900","Alabama","010","Talladega","1210","Talladega",6696,961,267,75,2478,21,500,59,121,2142,126
"G0101230","1900","Alabama","010","Tallapoosa","1230","Tallapoosa",5494,1079,422,240,2333,29,213,37,23,950,214
"G0101250","1900","Alabama","010","Tuscaloosa","1250","Tuscaloosa",6800,1621,439,31,1717,15,531,31,30,2179,254
"G0101270","1900","Alabama","010","Walker","1270","Walker",5085,1559,146,27,704,8,305,37,59,2090,92
"G0101290","1900","Alabama","010","Washington","1290","Washington",2039,801,66,9,279,2,82,18,25,615,127
"G0101310","1900","Alabama","010","Wilcox","1310","Wilcox",8005,725,204,138,4623,107,99,7,25,1406,776
"G0101330","1900","Alabama","010","Winston","1330","Winston",1778,1187,97,14,325,6,54,0,10,77,23
"G0250055","1900","Alaska Territory","025","Northern District","0055","Northern District",4190,2,2,0,1,0,3376,6,0,216,1249
"G0250095","1900","Alaska Territory","025","Southern District","0095","Southern District",6375,17,1,0,1,0,3795,13,0,1426,2078
"G0450015","1900","Arizona Territory","045","Apache","0015","Apache",1736,866,2,5,39,16,621,6,10,196,33
"G0450035","1900","Arizona Territory","045","Cochise","0035","Cochise",2847,141,3,3,26,2,808,12,36,1460,173
"G0450055","1900","Arizona Territory","045","Coconino","0055","Coconino",1407,302,1,1,30,35,286,23,5,526,85
"G0450075","1900","Arizona Territory","045","Gila","0075","Gila",1290,362,3,0,9,2,336,21,12,307,116
"G0450095","1900","Arizona Territory","045","Graham","0095","Graham",3319,401,40,48,93,6,981,21,174,1072,126
"G0450135","1900","Arizona Territory","045","Maricopa","0135","Maricopa",4435,970,283,28,291,9,769,312,66,1435,230
"G0450155","1900","Arizona Territory","045","Mohave","0155","Mohave",970,65,2,3,8,0,374,12,133,278,42
"G0450175","1900","Arizona Territory","045","Navajo","0175","Navajo",1666,815,0,6,11,8,466,8,2,256,85
"G0450195","1900","Arizona Territory","045","Pima","0195","Pima",3299,226,20,7,90,2,775,95,127,1626,223
"G0450215","1900","Arizona Territory","045","Pinal","0215","Pinal",1622,463,7,3,45,7,547,9,12,491,297
"G0450235","1900","Arizona Territory","045","Santa Cruz","0235","Santa Cruz",1065,61,4,27,28,1,283,26,43,489,63
"G0450255","1900","Arizona Territory","045","Yavapai","0255","Yavapai",3082,268,13,15,44,7,691,79,267,1261,193
"G0450275","1900","Arizona Territory","045","Yuma","0275","Yuma",1157,170,2,2,19,1,369,5,14,415,169
"G0459015","1900","Arizona Territory","045","Colorado River Indian Reservation","9015","Colorado River Indian Reservation",,,,,,,,,,,
"G0459035","1900","Arizona Territory","045","Fort Apache Indian Reservation","9035","Fort Apache Indian Reservation",,,,,,,,,,,
"G0459055","1900","Arizona Territory","045","Gila Bend Indian Reservation","9055","Gila Bend Indian Reservation",,,,,,,,,,,
"G0459075","1900","Arizona Territory","045","Gila River and Salt River Indian Reservations","9075","Gila River and Salt River Indian Reservations",,,,,,,,,,,
"G0459095","1900","Arizona Territory","045","Moqui Indian Reservation","9095","Moqui Indian Reservation",,,,,,,,,,,
"G0459115","1900","Arizona Territory","045","Navaho Indian Reservation","9115","Navaho Indian Reservation",,,,,,,,,,,
"G0459135","1900","Arizona Territory","045","Papago Indian Reservation","9135","Papago Indian Reservation",,,,,,,,,,,
"G0459155","1900","Arizona Territory","045","San Carlos Indian Reservation","9155","San Carlos Indian Reservation",868,814,0,0,0,2,29,0,0,0,22
"G0459175","1900","Arizona Territory","045","Supai and Walapai Indian Reservations","9175","Supai and Walapai Indian Reservations",,,,,,,,,,,
"G0500010","1900","Arkansas","050","Arkansas","0010","Arkansas",2625,954,167,15,791,7,225,45,26,311,95
"G0500030","1900","Arkansas","050","Ashley","0030","Ashley",3751,957,191,25,1665,11,177,17,18,651,124
"G0500050","1900","Arkansas","050","Baxter","0050","Baxter",1798,958,30,6,560,2,57,4,11,145,29
"G0500070","1900","Arkansas","050","Benton","0070","Benton",6386,2633,564,31,1173,11,723,146,55,1004,123
"G0500090","1900","Arkansas","050","Boone","0090","Boone",3098,1401,130,10,861,4,179,39,41,384,89
"G0500110","1900","Arkansas","050","Bradley","0110","Bradley",1788,801,131,3,332,5,125,23,25,301,38
"G0500130","1900","Arkansas","050","Calhoun","0130","Calhoun",1619,727,122,12,285,6,67,3,21,353,35
"G0500150","1900","Arkansas","050","Carroll","0150","Carroll",3714,1607,142,10,634,29,416,49,24,709,167
"G0500170","1900","Arkansas","050","Chicot","0170","Chicot",3260,227,119,35,2016,23,88,6,24,563,155
"G0500190","1900","Arkansas","050","Clark","0190","Clark",4023,1381,125,112,942,17,442,56,162,613,214
"G0500210","1900","Arkansas","050","Clay","0210","Clay",3191,1009,138,13,839,10,350,36,24,680,95
"G0500230","1900","Arkansas","050","Cleburne","0230","Cleburne",1869,961,111,69,397,0,85,11,20,180,56
"G0500250","1900","Arkansas","050","Cleveland","0250","Cleveland",2220,887,137,6,444,13,153,9,17,423,144
"G0500270","1900","Arkansas","050","Columbia","0270","Columbia",4018,1681,264,28,983,10,240,6,112,547,191
"G0500290","1900","Arkansas","050","Conway","0290","Conway",3875,1099,296,133,1389,44,195,15,59,529,150
"G0500310","1900","Arkansas","050","Craighead","0310","Craighead",3823,908,138,46,1028,35,406,120,43,944,205
"G0500330","1900","Arkansas","050","Crawford","0330","Crawford",4169,1135,299,58,1403,20,327,81,51,756,104
"G0500350","1900","Arkansas","050","Crittenden","0350","Crittenden",3405,181,38,19,1810,63,107,4,8,929,291
"G0500370","1900","Arkansas","050","Cross","0370","Cross",2234,412,96,9,942,9,167,33,43,434,107
"G0500390","1900","Arkansas","050","Dallas","0390","Dallas",2042,869,154,9,272,11,221,49,13,407,42
"G0500410","1900","Arkansas","050","Desha","0410","Desha",2663,300,78,14,1427,37,98,11,16,626,101
"G0500430","1900","Arkansas","050","Drew","0430","Drew",3788,798,503,33,1520,8,215,47,22,562,104
"G0500450","1900","Arkansas","050","Faulkner","0450","Faulkner",3929,1627,309,92,1303,13,169,36,12,328,70
"G0500470","1900","Arkansas","050","Franklin","0470","Franklin",3286,1211,230,44,1087,11,198,13,14,446,79
"G0500490","1900","Arkansas","050","Fulton","0490","Fulton",2473,1267,128,154,535,5,78,12,24,263,36
"G0500510","1900","Arkansas","050","Garland","0510","Garland",4131,780,60,172,327,14,455,147,277,1786,120
"G0500530","1900","Arkansas","050","Grant","0530","Grant",1422,898,79,4,261,3,24,0,20,120,23
"G0500550","1900","Arkansas","050","Greene","0550","Greene",3373,1157,97,151,976,42,325,33,20,549,58
"G0500570","1900","Arkansas","050","Hempstead","0570","Hempstead",4588,1290,241,149,1694,56,264,38,31,749,149
"G0500590","1900","Arkansas","050","Hot Spring","0590","Hot Spring",2424,1178,80,12,377,15,164,16,65,483,53
"G0500610","1900","Arkansas","050","Howard","0610","Howard",2644,1201,124,18,864,17,105,2,11,237,103
"G0500630","1900","Arkansas","050","Independence","0630","Independence",4293,1222,328,128,1501,25,230,62,46,627,152
"G0500650","1900","Arkansas","050","Izard","0650","Izard",2479,1365,81,12,806,7,77,4,24,124,16
"G0500670","1900","Arkansas","050","Jackson","0670","Jackson",3694,544,122,41,1514,44,223,48,13,997,202
"G0500690","1900","Arkansas","050","Jefferson","0690","Jefferson",9203,773,202,36,3653,31,794,180,252,2597,908
"G0500710","1900","Arkansas","050","Johnson","0710","Johnson",3251,1197,200,11,1053,17,254,16,24,502,33
"G0500730","1900","Arkansas","050","Lafayette","0730","Lafayette",2088,373,114,82,590,18,90,18,32,643,119
"G0500750","1900","Arkansas","050","Lawrence","0750","Lawrence",3275,736,154,48,1028,7,235,66,31,901,65
"G0500770","1900","Arkansas","050","Lee","0770","Lee",4173,311,268,98,2257,72,148,66,33,524,400
"G0500790","1900","Arkansas","050","Lincoln","0790","Lincoln",2918,654,190,14,1397,17,42,1,5,573,42
"G0500810","1900","Arkansas","050","Little River","0810","Little River",2766,735,68,94,1028,41,91,7,91,480,117
"G0500830","1900","Arkansas","050","Logan","0830","Logan",3887,1374,195,33,1436,13,271,75,35,372,114
"G0500850","1900","Arkansas","050","Lonoke","0850","Lonoke",4539,1086,308,51,2128,111,169,28,70,445,158
"G0500870","1900","Arkansas","050","Madison","0870","Madison",3737,2013,256,47,754,17,155,13,47,422,57
"G0500890","1900","Arkansas","050","Marion","0890","Marion",2117,956,45,10,642,14,139,5,35,262,33
"G0500910","1900","Arkansas","050","Miller","0910","Miller",3542,766,194,49,952,9,326,104,54,1029,92
"G0500930","1900","Arkansas","050","Mississippi","0930","Mississippi",3593,325,111,30,1259,70,143,19,20,1333,303
"G0500950","1900","Arkansas","050","Monroe","0950","Monroe",3338,278,165,60,1651,30,263,95,18,729,111
"G0500970","1900","Arkansas","050","Montgomery","0970","Montgomery",1769,1115,82,9,424,9,30,3,15,80,27
"G0500990","1900","Arkansas","050","Nevada","0990","Nevada",3046,1217,236,16,734,72,193,19,38,367,162
"G0501010","1900","Arkansas","050","Newton","1010","Newton",2308,1568,28,11,514,30,49,3,6,111,55
"G0501030","1900","Arkansas","050","Ouachita","1030","Ouachita",4030,966,285,90,694,3,409,45,104,1362,93
"G0501050","1900","Arkansas","050","Perry","1050","Perry",1447,379,43,144,546,10,21,4,76,161,69
"G0501070","1900","Arkansas","050","Phillips","1070","Phillips",5966,420,305,35,2812,50,360,80,37,1550,515
"G0501090","1900","Arkansas","050","Pike","1090","Pike",1903,961,59,148,391,26,35,8,44,195,59
"G0501110","1900","Arkansas","050","Poinsett","1110","Poinsett",1442,450,42,6,346,9,49,4,72,412,61
"G0501130","1900","Arkansas","050","Polk","1130","Polk",3795,1420,75,103,433,25,416,142,126,885,214
"G0501150","1900","Arkansas","050","Pope","1150","Pope",4043,1423,384,65,1396,18,261,50,26,400,81
"G0501170","1900","Arkansas","050","Prairie","1170","Prairie",2465,636,202,14,945,14,177,39,10,318,112
"G0501190","1900","Arkansas","050","Pulaski","1190","Pulaski",12871,1261,329,31,2170,279,1695,761,50,5925,969
"G0501210","1900","Arkansas","050","Randolph","1210","Randolph",3244,1240,114,115,1039,20,89,17,57,515,62
"G0501230","1900","Arkansas","050","St Francis","1230","St Francis",3480,512,236,18,1867,10,188,24,9,594,167
"G0501250","1900","Arkansas","050","Saline","1250","Saline",2577,1233,155,14,596,9,163,11,26,321,65
"G0501270","1900","Arkansas","050","Scott","1270","Scott",2525,1022,84,120,730,66,113,5,38,279,101
"G0501290","1900","Arkansas","050","Searcy","1290","Searcy",2192,1254,104,24,622,6,37,6,17,122,26
"G0501310","1900","Arkansas","050","Sebastian","1310","Sebastian",7245,1235,154,143,1437,16,1169,233,212,2679,151
"G0501330","1900","Arkansas","050","Sevier","1330","Sevier",3042,934,126,68,640,8,314,42,26,780,94
"G0501350","1900","Arkansas","050","Sharp","1350","Sharp",2319,1176,119,12,639,19,96,10,20,201,42
"G0501370","1900","Arkansas","050","Stone","1370","Stone",1460,804,20,11,402,9,37,2,4,93,87
"G0501390","1900","Arkansas","050","Union","1390","Union",4056,1408,324,173,717,9,208,18,90,938,162
"G0501410","1900","Arkansas","050","Van Buren","1410","Van Buren",2080,1304,37,181,403,13,47,1,11,91,14
"G0501430","1900","Arkansas","050","Washington","1430","Washington",6699,2545,458,424,1232,47,733,98,81,923,206
"G0501450","1900","Arkansas","050","White","1450","White",4989,1783,266,48,1488,16,506,56,59,751,100
"G0501470","1900","Arkansas","050","Woodruff","1470","Woodruff",3158,301,90,11,1994,27,149,13,7,452,203
"G0501490","1900","Arkansas","050","Yell","1490","Yell",4331,1319,154,52,1595,19,382,28,26,742,81
"G0600010","1900","California","060","Alameda","0010","Alameda",27853,1156,604,26,859,9,7301,4346,136,13568,741
"G0600030","1900","California","060","Alpine","0030","Alpine",94,23,7,0,1,0,14,1,0,4,45
"G0600050","1900","California","060","Amador","0050","Amador",2454,356,87,30,77,14,736,88,67,841,99
"G0600070","1900","California","060","Butte","0070","Butte",4246,635,207,29,243,23,986,187,179,1487,163
"G0600090","1900","California","060","Calaveras","0090","Calaveras",2678,381,86,5,71,2,995,61,30,826,97
"G0600110","1900","California","060","Colusa","0110","Colusa",1636,216,142,7,193,5,332,55,36,489,69
