GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A47001,A48001,A48002,A49001,A49002,A49003,A49004,A49005,A49006,A49007,A49008,A49009,A49010
"G0100010","1910","Alabama","010","Autauga","0010","Autauga",4384,2672,1712,632,253,15,1763,9,212,59,18,1229,194
"G0100030","1910","Alabama","010","Baldwin","0030","Baldwin",3966,1863,2103,1313,278,8,264,0,877,81,65,932,148
"G0100050","1910","Alabama","010","Barbour","0050","Barbour",6849,4413,2436,843,328,26,3209,7,584,79,19,1555,199
"G0100070","1910","Alabama","010","Bibb","0070","Bibb",4639,1907,2732,732,210,3,958,4,415,39,42,2110,126
"G0100090","1910","Alabama","010","Blount","0090","Blount",4215,3365,850,1631,342,10,1381,1,194,16,37,572,31
"G0100110","1910","Alabama","010","Bullock","0110","Bullock",6564,4557,2007,308,121,24,4090,14,365,45,7,1345,245
"G0100130","1910","Alabama","010","Butler","0130","Butler",6036,3875,2161,891,646,15,2317,6,496,121,17,1356,171
"G0100150","1910","Alabama","010","Calhoun","0150","Calhoun",8288,3208,5080,1098,203,25,1878,4,1195,382,39,3224,240
"G0100170","1910","Alabama","010","Chambers","0170","Chambers",7222,4763,2459,897,246,58,3554,8,370,28,35,1812,214
"G0100190","1910","Alabama","010","Cherokee","0190","Cherokee",4099,3309,790,1150,150,13,1992,4,134,4,20,551,81
"G0100210","1910","Alabama","010","Chilton","0210","Chilton",4715,3213,1502,1303,611,4,1294,1,333,43,34,1056,36
"G0100230","1910","Alabama","010","Choctaw","0230","Choctaw",3605,3079,526,943,495,17,1623,1,48,6,16,358,98
"G0100250","1910","Alabama","010","Clarke","0250","Clarke",6233,4539,1694,1824,509,11,2179,16,371,39,69,1021,194
"G0100270","1910","Alabama","010","Clay","0270","Clay",4161,3276,885,1539,246,12,1473,6,191,7,26,575,86
"G0100290","1910","Alabama","010","Cleburne","0290","Cleburne",2680,2120,560,1052,91,11,965,1,181,26,16,290,47
"G0100310","1910","Alabama","010","Coffee","0310","Coffee",5149,3703,1446,1092,474,50,2077,10,340,47,29,896,134
"G0100330","1910","Alabama","010","Colbert","0330","Colbert",5176,2529,2647,667,209,8,1642,3,657,129,24,1687,150
"G0100350","1910","Alabama","010","Conecuh","0350","Conecuh",4388,3299,1089,1248,672,12,1366,1,222,39,42,733,53
"G0100370","1910","Alabama","010","Coosa","0370","Coosa",3220,2685,535,977,263,11,1426,8,117,9,17,344,48
"G0100390","1910","Alabama","010","Covington","0390","Covington",6464,3188,3276,1330,631,24,1201,2,490,127,74,2373,212
"G0100410","1910","Alabama","010","Crenshaw","0410","Crenshaw",4827,3536,1291,1106,539,12,1874,5,276,32,26,790,167
"G0100430","1910","Alabama","010","Cullman","0430","Cullman",5545,4342,1203,1805,1130,7,1399,1,321,130,40,657,55
"G0100450","1910","Alabama","010","Dale","0450","Dale",4410,3198,1212,1010,353,14,1820,1,389,49,18,666,90
"G0100470","1910","Alabama","010","Dallas","0470","Dallas",13053,7757,5296,513,196,69,6965,14,810,198,61,3530,697
"G0100490","1910","Alabama","010","DeKalb","0490","Dekalb",5536,4699,837,2207,657,10,1825,0,257,19,36,478,47
"G0100510","1910","Alabama","010","Elmore","0510","Elmore",5855,3812,2043,966,556,42,2236,12,320,41,42,1275,365
"G0100530","1910","Alabama","010","Escambia","0530","Escambia",3894,1629,2265,908,335,8,378,0,596,73,92,1311,193
"G0100550","1910","Alabama","010","Etowah","0550","Etowah",7928,2937,4991,1088,245,49,1554,1,887,152,63,3619,270
"G0100570","1910","Alabama","010","Fayette","0570","Fayette",3201,2780,421,1328,319,4,1124,5,154,18,17,195,37
"G0100590","1910","Alabama","010","Franklin","0590","Franklin",3806,2514,1292,981,333,16,1184,0,322,67,14,852,37
"G0100610","1910","Alabama","010","Geneva","0610","Geneva",5215,3363,1852,1193,553,17,1593,7,460,55,46,1187,104
"G0100630","1910","Alabama","010","Greene","0630","Greene",5363,4063,1300,445,216,16,3379,7,138,28,9,714,411
"G0100650","1910","Alabama","010","Hale","0650","Hale",6339,4384,1955,596,403,17,3362,6,214,73,24,1510,134
"G0100670","1910","Alabama","010","Henry","0670","Henry",4172,3259,913,666,359,8,2211,15,263,43,13,493,101
"G0100690","1910","Alabama","010","Houston","0690","Houston",6564,4080,2484,1384,572,17,2096,11,604,183,30,1499,168
"G0100710","1910","Alabama","010","Jackson","0710","Jackson",6593,4598,1995,1687,409,10,2487,5,530,60,51,1219,135
"G0100730","1910","Alabama","010","Jefferson","0730","Jefferson",52225,3761,48464,2286,282,22,1168,3,8094,4116,328,34414,1512
"G0100750","1910","Alabama","010","Lamar","0750","Lamar",3458,2889,569,1261,494,7,1126,1,175,42,10,307,35
"G0100770","1910","Alabama","010","Lauderdale","0770","Lauderdale",6274,4065,2209,1593,456,16,1997,3,742,161,20,1237,49
"G0100790","1910","Alabama","010","Lawrence","0790","Lawrence",4448,3836,612,1102,514,5,2215,0,166,24,25,314,83
"G0100810","1910","Alabama","010","Lee","0810","Lee",6982,3613,3369,622,265,22,2702,2,897,186,31,2148,107
"G0100830","1910","Alabama","010","Limestone","0830","Limestone",5563,4467,1096,983,601,11,2869,3,316,63,29,622,66
"G0100850","1910","Alabama","010","Lowndes","0850","Lowndes",7418,5797,1621,427,176,35,5146,13,157,11,16,1197,240
"G0100870","1910","Alabama","010","Macon","0870","Macon",5876,4229,1647,422,269,24,3480,34,253,47,12,1158,177
"G0100890","1910","Alabama","010","Madison","0890","Madison",9929,5503,4426,1216,609,22,3653,3,1078,219,32,2959,138
"G0100910","1910","Alabama","010","Marengo","0910","Marengo",9190,6291,2899,834,505,33,4909,10,444,175,34,1513,733
"G0100930","1910","Alabama","010","Marion","0930","Marion",3317,2766,551,1313,464,8,981,0,177,29,31,286,28
"G0100950","1910","Alabama","010","Marshall","0950","Marshall",5560,4542,1018,1880,664,22,1972,4,332,43,22,553,68
"G0100970","1910","Alabama","010","Mobile","0970","Mobile",18515,1295,17220,1079,71,0,144,1,4763,778,129,10922,628
"G0100990","1910","Alabama","010","Monroe","0990","Monroe",5430,4317,1113,1163,524,19,2606,5,151,16,17,755,174
"G0101010","1910","Alabama","010","Montgomery","1010","Montgomery",19635,6546,13089,518,203,53,5761,11,1981,787,72,9139,1110
"G0101030","1910","Alabama","010","Morgan","1030","Morgan",7290,3535,3755,1179,582,5,1766,3,890,347,19,2393,106
"G0101050","1910","Alabama","010","Perry","1050","Perry",6931,4733,2198,669,377,16,3662,9,494,82,29,1246,347
"G0101070","1910","Alabama","010","Pickens","1070","Pickens",5214,3987,1227,1051,493,12,2428,3,222,58,14,738,195
"G0101090","1910","Alabama","010","Pike","1090","Pike",6489,4129,2360,765,413,17,2924,10,545,118,45,1466,186
"G0101110","1910","Alabama","010","Randolph","1110","Randolph",4864,3940,924,1618,242,25,2053,2,319,17,16,500,72
"G0101130","1910","Alabama","010","Russell","1130","Russell",5463,3188,2275,413,124,32,2578,41,407,89,19,1376,384
"G0101150","1910","Alabama","010","St Clair","1150","St Clair",4102,2531,1571,1174,124,34,1198,1,281,13,116,1100,61
"G0101170","1910","Alabama","010","Shelby","1170","Shelby",5480,2755,2725,1169,264,10,1303,9,521,88,26,1989,101
"G0101190","1910","Alabama","010","Sumter","1190","Sumter",6149,4502,1647,482,279,34,3703,4,247,38,12,1162,188
"G0101210","1910","Alabama","010","Talladega","1210","Talladega",7496,4308,3188,995,345,25,2938,5,787,90,37,2072,202
"G0101230","1910","Alabama","010","Tallapoosa","1230","Tallapoosa",6198,4532,1666,1168,589,19,2739,17,352,77,20,1035,182
"G0101250","1910","Alabama","010","Tuscaloosa","1250","Tuscaloosa",9840,4524,5316,1618,701,25,2178,2,868,175,28,4002,243
"G0101270","1910","Alabama","010","Walker","1270","Walker",7933,2625,5308,1720,138,16,748,3,957,109,49,4040,153
"G0101290","1910","Alabama","010","Washington","1290","Washington",2858,1649,1209,949,200,5,491,4,261,20,19,793,116
"G0101310","1910","Alabama","010","Wilcox","1310","Wilcox",7717,6285,1432,753,190,50,5272,20,182,23,45,699,483
"G0101330","1910","Alabama","010","Winston","1330","Winston",2569,2061,508,1402,217,1,441,0,150,9,44,283,22
"G0450015","1910","Arizona Territory","045","Apache","0015","Apache",1672,816,856,747,15,9,26,19,587,1,16,180,72
"G0450035","1910","Arizona Territory","045","Cochise","0035","Cochise",8485,1158,7327,1072,26,1,55,4,2091,544,35,4418,239
"G0450055","1910","Arizona Territory","045","Coconino","0055","Coconino",1417,488,929,449,5,7,27,0,215,19,7,569,119
"G0450075","1910","Arizona Territory","045","Gila","0075","Gila",4487,397,4090,367,6,2,21,1,1320,221,56,2344,149
"G0450095","1910","Arizona Territory","045","Graham","0095","Graham",5563,806,4757,492,186,8,119,1,1469,133,119,2892,144
"G0450135","1910","Arizona Territory","045","Maricopa","0135","Maricopa",8125,2241,5884,1174,548,62,455,2,1443,681,74,3425,261
"G0450155","1910","Arizona Territory","045","Mohave","0155","Mohave",1077,69,1008,68,0,0,1,0,462,13,28,459,46
"G0450175","1910","Arizona Territory","045","Navajo","0175","Navajo",2436,762,1674,723,10,0,28,1,918,7,10,668,71
"G0450195","1910","Arizona Territory","045","Pima","0195","Pima",5163,312,4851,237,18,9,45,3,1275,403,103,2836,234
"G0450215","1910","Arizona Territory","045","Pinal","0215","Pinal",2047,592,1455,553,12,10,15,2,423,10,22,880,120
"G0450235","1910","Arizona Territory","045","Santa Cruz","0235","Santa Cruz",1419,163,1256,126,5,1,31,0,345,26,15,803,67
"G0450255","1910","Arizona Territory","045","Yavapai","0255","Yavapai",3851,460,3391,306,55,0,99,0,1171,187,23,1902,108
"G0450275","1910","Arizona Territory","045","Yuma","0275","Yuma",2185,284,1901,200,54,2,26,2,613,32,30,1084,142
"G0500010","1910","Arkansas","050","Arkansas","0010","Arkansas",3369,2060,1309,781,272,16,980,11,392,90,97,664,66
"G0500030","1910","Arkansas","050","Ashley","0030","Ashley",5252,3357,1895,1086,257,33,1903,78,284,53,24,1111,423
"G0500050","1910","Arkansas","050","Baxter","0050","Baxter",2111,1577,534,884,146,9,537,1,200,43,12,267,12
"G0500070","1910","Arkansas","050","Benton","0070","Benton",7605,4523,3082,2452,1040,9,1022,0,1261,394,50,1315,62
"G0500090","1910","Arkansas","050","Boone","0090","Boone",2992,2154,838,1197,310,8,637,2,320,75,6,391,46
"G0500110","1910","Arkansas","050","Bradley","0110","Bradley",2950,1421,1529,799,274,3,338,7,477,136,24,820,72
"G0500130","1910","Arkansas","050","Calhoun","0130","Calhoun",1937,1290,647,796,200,2,289,3,162,17,24,381,63
"G0500150","1910","Arkansas","050","Carroll","0150","Carroll",3827,2351,1476,1505,254,2,588,2,579,115,9,747,26
"G0500170","1910","Arkansas","050","Chicot","0170","Chicot",5639,3489,2150,245,219,53,2930,42,267,80,39,1466,298
"G0500190","1910","Arkansas","050","Clark","0190","Clark",4715,2664,2051,1412,198,27,1023,4,682,66,38,1158,107
"G0500210","1910","Arkansas","050","Clay","0210","Clay",5052,2881,2171,884,482,25,1488,2,640,192,34,1219,86
"G0500230","1910","Arkansas","050","Cleburne","0230","Cleburne",2464,1700,764,1133,134,2,422,9,295,30,15,400,24
"G0500250","1910","Arkansas","050","Cleveland","0250","Cleveland",2642,1900,742,1014,268,5,613,0,187,28,19,467,41
"G0500270","1910","Arkansas","050","Columbia","0270","Columbia",4578,3382,1196,1659,492,11,1216,4,365,48,37,623,123
"G0500290","1910","Arkansas","050","Conway","0290","Conway",4549,3510,1039,1234,544,12,1718,2,411,59,5,523,41
"G0500310","1910","Arkansas","050","Craighead","0310","Craighead",5844,2954,2890,926,331,11,1686,0,779,227,43,1781,60
"G0500330","1910","Arkansas","050","Crawford","0330","Crawford",5031,3176,1855,1309,465,16,1383,3,570,173,22,1011,79
"G0500350","1910","Arkansas","050","Crittenden","0350","Crittenden",5333,3762,1571,289,72,3,3239,159,285,65,84,837,300
"G0500370","1910","Arkansas","050","Cross","0370","Cross",3033,1783,1250,362,125,28,1267,1,344,53,15,693,145
"G0500390","1910","Arkansas","050","Dallas","0390","Dallas",2424,1391,1033,879,195,2,314,1,365,55,77,490,46
"G0500410","1910","Arkansas","050","Desha","0410","Desha",3704,2353,1351,195,78,86,1985,9,147,17,122,901,164
"G0500430","1910","Arkansas","050","Drew","0430","Drew",4548,3178,1370,891,507,17,1758,5,363,81,16,810,100
"G0500450","1910","Arkansas","050","Faulkner","0450","Faulkner",4646,3769,877,1671,490,8,1600,0,388,97,3,343,46
"G0500470","1910","Arkansas","050","Franklin","0470","Franklin",4117,2913,1204,1277,345,6,1284,1,475,90,41,531,67
"G0500490","1910","Arkansas","050","Fulton","0490","Fulton",2472,1964,508,1114,236,6,606,2,177,19,21,261,30
