GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A83001,A83002,A83003,A84001,A84002,A84003
"G0100010","1920","Alabama","010","Autauga","0010","Autauga",2577,1249,902,275,72,239
"G0100030","1920","Alabama","010","Baldwin","0030","Baldwin",1595,2730,2209,416,105,388
"G0100050","1920","Alabama","010","Barbour","0050","Barbour",4716,1898,1385,441,72,172
"G0100070","1920","Alabama","010","Bibb","0070","Bibb",3298,1495,1246,235,14,36
"G0100090","1920","Alabama","010","Blount","0090","Blount",2366,2604,1829,717,58,126
"G0100110","1920","Alabama","010","Bullock","0110","Bullock",4276,954,734,172,48,262
"G0100130","1920","Alabama","010","Butler","0130","Butler",3675,2330,1449,619,262,152
"G0100150","1920","Alabama","010","Calhoun","0150","Calhoun",6368,3432,2612,741,79,302
"G0100170","1920","Alabama","010","Chambers","0170","Chambers",5966,1845,1326,377,142,670
"G0100190","1920","Alabama","010","Cherokee","0190","Cherokee",2519,1602,1137,325,140,74
"G0100210","1920","Alabama","010","Chilton","0210","Chilton",2418,2343,1769,562,12,68
"G0100230","1920","Alabama","010","Choctaw","0230","Choctaw",2417,1589,1249,229,111,195
"G0100250","1920","Alabama","010","Clarke","0250","Clarke",2751,2649,2264,308,77,164
"G0100270","1920","Alabama","010","Clay","0270","Clay",2354,2112,1719,349,44,111
"G0100290","1920","Alabama","010","Cleburne","0290","Cleburne",1256,1415,1218,168,29,34
"G0100310","1920","Alabama","010","Coffee","0310","Coffee",3696,2204,1454,582,168,203
"G0100330","1920","Alabama","010","Colbert","0330","Colbert",4506,2209,1571,556,82,162
"G0100350","1920","Alabama","010","Conecuh","0350","Conecuh",2591,2426,1712,664,50,135
"G0100370","1920","Alabama","010","Coosa","0370","Coosa",1602,1210,950,237,23,97
"G0100390","1920","Alabama","010","Covington","0390","Covington",4493,3062,2011,917,134,212
"G0100410","1920","Alabama","010","Crenshaw","0410","Crenshaw",2726,1940,1393,435,112,164
"G0100430","1920","Alabama","010","Cullman","0430","Cullman",2343,4240,2602,1560,78,143
"G0100450","1920","Alabama","010","Dale","0450","Dale",2672,1991,1443,512,36,80
"G0100470","1920","Alabama","010","Dallas","0470","Dallas",10483,2169,1573,443,153,790
"G0100490","1920","Alabama","010","DeKalb","0490","Dekalb",2829,3875,2775,905,195,125
"G0100510","1920","Alabama","010","Elmore","0510","Elmore",3441,2043,1375,513,155,333
