GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BFU001,BFU002,BGM001
"G0100010","1930","Alabama","010","Autauga","0010","Autauga",395,858,4274
"G0100030","1930","Alabama","010","Baldwin","0030","Baldwin",1642,1894,6382
"G0100050","1930","Alabama","010","Barbour","0050","Barbour",987,1778,6846
"G0100070","1930","Alabama","010","Bibb","0070","Bibb",528,2016,4493
"G0100090","1930","Alabama","010","Blount","0090","Blount",416,1031,5626
"G0100110","1930","Alabama","010","Bullock","0110","Bullock",511,873,4512
"G0100130","1930","Alabama","010","Butler","0130","Butler",907,1858,6358
"G0100150","1930","Alabama","010","Calhoun","0150","Calhoun",2821,5715,11155
"G0100170","1930","Alabama","010","Chambers","0170","Chambers",714,3227,7958
"G0100190","1930","Alabama","010","Cherokee","0190","Cherokee",221,271,4061
"G0100210","1930","Alabama","010","Chilton","0210","Chilton",593,827,5169
"G0100230","1930","Alabama","010","Choctaw","0230","Choctaw",279,1221,4335
"G0100250","1930","Alabama","010","Clarke","0250","Clarke",926,1338,5628
"G0100270","1930","Alabama","010","Clay","0270","Clay",279,389,3616
"G0100290","1930","Alabama","010","Cleburne","0290","Cleburne",254,336,2613
"G0100310","1930","Alabama","010","Coffee","0310","Coffee",705,1191,6474
"G0100330","1930","Alabama","010","Colbert","0330","Colbert",1410,2329,6436
"G0100350","1930","Alabama","010","Conecuh","0350","Conecuh",590,1241,5295
"G0100370","1930","Alabama","010","Coosa","0370","Coosa",202,430,2461
"G0100390","1930","Alabama","010","Covington","0390","Covington",1112,2971,8310
"G0100410","1930","Alabama","010","Crenshaw","0410","Crenshaw",500,946,4948
"G0100430","1930","Alabama","010","Cullman","0430","Cullman",773,843,8135
"G0100450","1930","Alabama","010","Dale","0450","Dale",662,1070,4790
"G0100470","1930","Alabama","010","Dallas","0470","Dallas",1882,4006,12674
"G0100490","1930","Alabama","010","DeKalb","0490","Dekalb",714,811,8067
"G0100510","1930","Alabama","010","Elmore","0510","Elmore",585,1473,6819
"G0100530","1930","Alabama","010","Escambia","0530","Escambia",1325,1992,5471
"G0100550","1930","Alabama","010","Etowah","0550","Etowah",2711,6816,12410
"G0100570","1930","Alabama","010","Fayette","0570","Fayette",403,571,3824
"G0100590","1930","Alabama","010","Franklin","0590","Franklin",738,1086,5015
"G0100610","1930","Alabama","010","Geneva","0610","Geneva",744,1135,6021
"G0100630","1930","Alabama","010","Greene","0630","Greene",224,912,4648
"G0100650","1930","Alabama","010","Hale","0650","Hale",519,680,5984
"G0100670","1930","Alabama","010","Henry","0670","Henry",451,704,4572
"G0100690","1930","Alabama","010","Houston","0690","Houston",1597,2806,9235
"G0100710","1930","Alabama","010","Jackson","0710","Jackson",940,1139,7473
"G0100730","1930","Alabama","010","Jefferson","0730","Jefferson",33835,65563,93343
"G0100750","1930","Alabama","010","Lamar","0750","Lamar",371,386,3635
