GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BXR001,BXS001,BXV001,BXV002,BXW001,BX8001
"G0100010","1940","Alabama","010","Autauga","0010","Autauga",5407,4973,1460,3513,29.4,5407
"G0100030","1940","Alabama","010","Baldwin","0030","Baldwin",8901,8000,4523,3477,56.5,8901
"G0100050","1940","Alabama","010","Barbour","0050","Barbour",8085,7657,2084,5573,27.2,8085
"G0100070","1940","Alabama","010","Bibb","0070","Bibb",5037,4636,1582,3054,34.1,5037
"G0100090","1940","Alabama","010","Blount","0090","Blount",7096,6665,2965,3700,44.5,7096
"G0100110","1940","Alabama","010","Bullock","0110","Bullock",5025,4673,1022,3651,21.9,5025
"G0100130","1940","Alabama","010","Butler","0130","Butler",7808,7382,2342,5040,31.7,7808
"G0100150","1940","Alabama","010","Calhoun","0150","Calhoun",15564,15021,4788,10233,31.9,15564
"G0100170","1940","Alabama","010","Chambers","0170","Chambers",10677,9888,2175,7713,22.0,10677
"G0100190","1940","Alabama","010","Cherokee","0190","Cherokee",4639,4419,1476,2943,33.4,4639
"G0100210","1940","Alabama","010","Chilton","0210","Chilton",7012,6585,2649,3936,40.2,7012
"G0100230","1940","Alabama","010","Choctaw","0230","Choctaw",4919,4574,1975,2599,43.2,4919
"G0100250","1940","Alabama","010","Clarke","0250","Clarke",6713,6379,3226,3153,50.6,6713
"G0100270","1940","Alabama","010","Clay","0270","Clay",4274,3878,1787,2091,46.1,4274
"G0100290","1940","Alabama","010","Cleburne","0290","Cleburne",3282,2992,1267,1725,42.3,3282
"G0100310","1940","Alabama","010","Coffee","0310","Coffee",7712,7311,2136,5175,29.2,7712
"G0100330","1940","Alabama","010","Colbert","0330","Colbert",8514,8245,2686,5559,32.6,8514
"G0100350","1940","Alabama","010","Conecuh","0350","Conecuh",5942,5650,2374,3276,42.0,5942
"G0100370","1940","Alabama","010","Coosa","0370","Coosa",3344,2971,1157,1814,38.9,3344
"G0100390","1940","Alabama","010","Covington","0390","Covington",10491,9970,3423,6547,34.3,10491
"G0100410","1940","Alabama","010","Crenshaw","0410","Crenshaw",6074,5608,1785,3823,31.8,6074
"G0100430","1940","Alabama","010","Cullman","0430","Cullman",10952,10690,5032,5658,47.1,10952
"G0100450","1940","Alabama","010","Dale","0450","Dale",5748,5326,1868,3458,35.1,5748
"G0100470","1940","Alabama","010","Dallas","0470","Dallas",14684,13733,2615,11118,19.0,14684
"G0100490","1940","Alabama","010","DeKalb","0490","Dekalb",10230,9898,4571,5327,46.2,10230
"G0100510","1940","Alabama","010","Elmore","0510","Elmore",8408,7755,2419,5336,31.2,8408
"G0100530","1940","Alabama","010","Escambia","0530","Escambia",7130,6766,2986,3780,44.1,7130
"G0100550","1940","Alabama","010","Etowah","0550","Etowah",17559,17197,5689,11508,33.1,17559
"G0100570","1940","Alabama","010","Fayette","0570","Fayette",5275,4950,2162,2788,43.7,5275
"G0100590","1940","Alabama","010","Franklin","0590","Franklin",6447,6090,2405,3685,39.5,6447
"G0100610","1940","Alabama","010","Geneva","0610","Geneva",6957,6600,2179,4421,33.0,6957
"G0100630","1940","Alabama","010","Greene","0630","Greene",5099,4720,829,3891,17.6,5099
"G0100650","1940","Alabama","010","Hale","0650","Hale",6340,5952,1619,4333,27.2,6340
"G0100670","1940","Alabama","010","Henry","0670","Henry",5222,4857,1240,3617,25.5,5222
"G0100690","1940","Alabama","010","Houston","0690","Houston",11708,11161,3446,7715,30.9,11708
"G0100710","1940","Alabama","010","Jackson","0710","Jackson",9571,9127,3717,5410,40.7,9571
"G0100730","1940","Alabama","010","Jefferson","0730","Jefferson",122744,119034,39651,79383,33.3,122744
"G0100750","1940","Alabama","010","Lamar","0750","Lamar",4717,4401,1898,2503,43.1,4717
"G0100770","1940","Alabama","010","Lauderdale","0770","Lauderdale",11173,10828,4165,6663,38.5,11173
"G0100790","1940","Alabama","010","Lawrence","0790","Lawrence",6549,6216,1954,4262,31.4,6549
"G0100810","1940","Alabama","010","Lee","0810","Lee",9525,8726,2226,6500,25.5,9525
"G0100830","1940","Alabama","010","Limestone","0830","Limestone",8260,8042,2457,5585,30.6,8260
"G0100850","1940","Alabama","010","Lowndes","0850","Lowndes",5776,5364,872,4492,16.3,5776
