GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A43AA1970,A43AB1970,B37AA1970,B37AB1970,B39AA1970,B39AB1970
"G0100010","1970","Alabama","01","010","Autauga County","001","0010","Autauga",6796,600,4867,1929,866,771
"G0100030","1970","Alabama","01","010","Baldwin County","003","0030","Baldwin",17721,4082,13793,3928,1707,718
"G0100050","1970","Alabama","01","010","Barbour County","005","0050","Barbour",6814,579,4305,2509,1295,1387
"G0100070","1970","Alabama","01","010","Bibb County","007","0070","Bibb",4020,456,2751,1269,447,448
"G0100090","1970","Alabama","01","010","Blount County","009","0090","Blount",8442,770,6230,2212,128,56
"G0100110","1970","Alabama","01","010","Bullock County","011","0110","Bullock",3336,376,1889,1447,947,1108
"G0100130","1970","Alabama","01","010","Butler County","013","0130","Butler",6669,465,4185,2484,936,1161
"G0100150","1970","Alabama","01","010","Calhoun County","015","0150","Calhoun",30657,1906,20564,10093,2434,1996
"G0100170","1970","Alabama","01","010","Chambers County","017","0170","Chambers",11208,766,7750,3458,1369,1657
"G0100190","1970","Alabama","01","010","Cherokee County","019","0190","Cherokee",4879,573,3348,1531,213,137
"G0100210","1970","Alabama","01","010","Chilton County","021","0210","Chilton",8019,1087,5734,2285,449,402
"G0100230","1970","Alabama","01","010","Choctaw County","023","0230","Choctaw",4674,612,3567,1107,1162,604
"G0100250","1970","Alabama","01","010","Clarke County","025","0250","Clarke",7608,745,5556,2052,1707,1021
"G0100270","1970","Alabama","01","010","Clay County","027","0270","Clay",3948,388,2877,1071,280,231
"G0100290","1970","Alabama","01","010","Cleburne County","029","0290","Cleburne",3366,268,2440,926,72,80
"G0100310","1970","Alabama","01","010","Coffee County","031","0310","Coffee",10667,825,7102,3565,843,613
"G0100330","1970","Alabama","01","010","Colbert County","033","0330","Colbert",15049,1034,10819,4230,1276,956
"G0100350","1970","Alabama","01","010","Conecuh County","035","0350","Conecuh",4665,500,3393,1272,1138,598
"G0100370","1970","Alabama","01","010","Coosa County","037","0370","Coosa",3144,779,2278,866,485,363
"G0100390","1970","Alabama","01","010","Covington County","039","0390","Covington",11208,1271,7852,3356,747,651
"G0100410","1970","Alabama","01","010","Crenshaw County","041","0410","Crenshaw",4226,458,2738,1488,502,518
"G0100430","1970","Alabama","01","010","Cullman County","043","0430","Cullman",16220,1258,11771,4449,127,205
"G0100450","1970","Alabama","01","010","Dale County","045","0450","Dale",13909,863,7416,6493,729,755
"G0100470","1970","Alabama","01","010","Dallas County","047","0470","Dallas",15611,1188,7847,7764,2563,4562
"G0100490","1970","Alabama","01","010","DeKalb County","049","0490","De Kalb",13501,1228,9969,3532,144,120
"G0100510","1970","Alabama","01","010","Elmore County","051","0510","Elmore",9643,2474,6866,2777,1036,1097
"G0100530","1970","Alabama","01","010","Escambia County","053","0530","Escambia",9963,854,7138,2825,1523,927
"G0100550","1970","Alabama","01","010","Etowah County","055","0550","Etowah",30241,1746,21190,9051,2012,1661
