GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B79AA2000
"G0100010","2000","Alabama","01","010","Autauga County","001","0010","Autauga County",42013
"G0100030","2000","Alabama","01","010","Baldwin County","003","0030","Baldwin County",40250
"G0100050","2000","Alabama","01","010","Barbour County","005","0050","Barbour County",25101
"G0100070","2000","Alabama","01","010","Bibb County","007","0070","Bibb County",31420
"G0100090","2000","Alabama","01","010","Blount County","009","0090","Blount County",35241
"G0100110","2000","Alabama","01","010","Bullock County","011","0110","Bullock County",20605
"G0100130","2000","Alabama","01","010","Butler County","013","0130","Butler County",24791
"G0100150","2000","Alabama","01","010","Calhoun County","015","0150","Calhoun County",31768
"G0100170","2000","Alabama","01","010","Chambers County","017","0170","Chambers County",29667
"G0100190","2000","Alabama","01","010","Cherokee County","019","0190","Cherokee County",30874
"G0100210","2000","Alabama","01","010","Chilton County","021","0210","Chilton County",32588
"G0100230","2000","Alabama","01","010","Choctaw County","023","0230","Choctaw County",24749
"G0100250","2000","Alabama","01","010","Clarke County","025","0250","Clarke County",27388
"G0100270","2000","Alabama","01","010","Clay County","027","0270","Clay County",27885
"G0100290","2000","Alabama","01","010","Cleburne County","029","0290","Cleburne County",30820
"G0100310","2000","Alabama","01","010","Coffee County","031","0310","Coffee County",33664
"G0100330","2000","Alabama","01","010","Colbert County","033","0330","Colbert County",31954
"G0100350","2000","Alabama","01","010","Conecuh County","035","0350","Conecuh County",22111
"G0100370","2000","Alabama","01","010","Coosa County","037","0370","Coosa County",29873
"G0100390","2000","Alabama","01","010","Covington County","039","0390","Covington County",26336
"G0100410","2000","Alabama","01","010","Crenshaw County","041","0410","Crenshaw County",26054
"G0100430","2000","Alabama","01","010","Cullman County","043","0430","Cullman County",32256
"G0100450","2000","Alabama","01","010","Dale County","045","0450","Dale County",31998
"G0100470","2000","Alabama","01","010","Dallas County","047","0470","Dallas County",23370
"G0100490","2000","Alabama","01","010","DeKalb County","049","0490","DeKalb County",30137
"G0100510","2000","Alabama","01","010","Elmore County","051","0510","Elmore County",41243
"G0100530","2000","Alabama","01","010","Escambia County","053","0530","Escambia County",28319
"G0100550","2000","Alabama","01","010","Etowah County","055","0550","Etowah County",31170
"G0100570","2000","Alabama","01","010","Fayette County","057","0570","Fayette County",28539
"G0100590","2000","Alabama","01","010","Franklin County","059","0590","Franklin County",27177
"G0100610","2000","Alabama","01","010","Geneva County","061","0610","Geneva County",26448
"G0100630","2000","Alabama","01","010","Greene County","063","0630","Greene County",19819
"G0100650","2000","Alabama","01","010","Hale County","065","0650","Hale County",25807
"G0100670","2000","Alabama","01","010","Henry County","067","0670","Henry County",30353
"G0100690","2000","Alabama","01","010","Houston County","069","0690","Houston County",34431
"G0100710","2000","Alabama","01","010","Jackson County","071","0710","Jackson County",32020
"G0100730","2000","Alabama","01","010","Jefferson County","073","0730","Jefferson County",36868
"G0100750","2000","Alabama","01","010","Lamar County","075","0750","Lamar County",28059
"G0100770","2000","Alabama","01","010","Lauderdale County","077","0770","Lauderdale County",33354
"G0100790","2000","Alabama","01","010","Lawrence County","079","0790","Lawrence County",31549
"G0100810","2000","Alabama","01","010","Lee County","081","0810","Lee County",30952
"G0100830","2000","Alabama","01","010","Limestone County","083","0830","Limestone County",37405
"G0100850","2000","Alabama","01","010","Lowndes County","085","0850","Lowndes County",23050
"G0100870","2000","Alabama","01","010","Macon County","087","0870","Macon County",21180
"G0100890","2000","Alabama","01","010","Madison County","089","0890","Madison County",44704
"G0100910","2000","Alabama","01","010","Marengo County","091","0910","Marengo County",27025
"G0100930","2000","Alabama","01","010","Marion County","093","0930","Marion County",27475
"G0100950","2000","Alabama","01","010","Marshall County","095","0950","Marshall County",32167
"G0100970","2000","Alabama","01","010","Mobile County","097","0970","Mobile County",33710
"G0100990","2000","Alabama","01","010","Monroe County","099","0990","Monroe County",29093
"G0101010","2000","Alabama","01","010","Montgomery County","101","1010","Montgomery County",35962
"G0101030","2000","Alabama","01","010","Morgan County","103","1030","Morgan County",37803
"G0101050","2000","Alabama","01","010","Perry County","105","1050","Perry County",20200
"G0101070","2000","Alabama","01","010","Pickens County","107","1070","Pickens County",26254
"G0101090","2000","Alabama","01","010","Pike County","109","1090","Pike County",25551
"G0101110","2000","Alabama","01","010","Randolph County","111","1110","Randolph County",28675
"G0101130","2000","Alabama","01","010","Russell County","113","1130","Russell County",27492
"G0101150","2000","Alabama","01","010","St. Clair County","115","1150","St. Clair County",37285
"G0101170","2000","Alabama","01","010","Shelby County","117","1170","Shelby County",55440
"G0101190","2000","Alabama","01","010","Sumter County","119","1190","Sumter County",18911
