GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B79AA125,B79AA125M
"G0100010","2008-2012","Alabama","01","010","Autauga County","001","0010","Autauga County, Alabama",53773,1888
"G0100030","2008-2012","Alabama","01","010","Baldwin County","003","0030","Baldwin County, Alabama",50706,1371
"G0100050","2008-2012","Alabama","01","010","Barbour County","005","0050","Barbour County, Alabama",31889,2212
"G0100070","2008-2012","Alabama","01","010","Bibb County","007","0070","Bibb County, Alabama",36824,4346
"G0100090","2008-2012","Alabama","01","010","Blount County","009","0090","Blount County, Alabama",45192,1933
"G0100110","2008-2012","Alabama","01","010","Bullock County","011","0110","Bullock County, Alabama",34500,6593
"G0100130","2008-2012","Alabama","01","010","Butler County","013","0130","Butler County, Alabama",30752,2362
"G0100150","2008-2012","Alabama","01","010","Calhoun County","015","0150","Calhoun County, Alabama",40093,1289
"G0100170","2008-2012","Alabama","01","010","Chambers County","017","0170","Chambers County, Alabama",32181,1387
"G0100190","2008-2012","Alabama","01","010","Cherokee County","019","0190","Cherokee County, Alabama",36241,4312
"G0100210","2008-2012","Alabama","01","010","Chilton County","021","0210","Chilton County, Alabama",40834,1951
"G0100230","2008-2012","Alabama","01","010","Choctaw County","023","0230","Choctaw County, Alabama",35123,3027
"G0100250","2008-2012","Alabama","01","010","Clarke County","025","0250","Clarke County, Alabama",30954,3743
"G0100270","2008-2012","Alabama","01","010","Clay County","027","0270","Clay County, Alabama",34556,2952
"G0100290","2008-2012","Alabama","01","010","Cleburne County","029","0290","Cleburne County, Alabama",37244,2406
"G0100310","2008-2012","Alabama","01","010","Coffee County","031","0310","Coffee County, Alabama",44626,2457
"G0100330","2008-2012","Alabama","01","010","Colbert County","033","0330","Colbert County, Alabama",40158,1738
"G0100350","2008-2012","Alabama","01","010","Conecuh County","035","0350","Conecuh County, Alabama",27064,3998
"G0100370","2008-2012","Alabama","01","010","Coosa County","037","0370","Coosa County, Alabama",37425,3513
"G0100390","2008-2012","Alabama","01","010","Covington County","039","0390","Covington County, Alabama",35321,1759
"G0100410","2008-2012","Alabama","01","010","Crenshaw County","041","0410","Crenshaw County, Alabama",37309,4396
"G0100430","2008-2012","Alabama","01","010","Cullman County","043","0430","Cullman County, Alabama",39244,1728
"G0100450","2008-2012","Alabama","01","010","Dale County","045","0450","Dale County, Alabama",45247,1982
"G0100470","2008-2012","Alabama","01","010","Dallas County","047","0470","Dallas County, Alabama",26178,1923
"G0100490","2008-2012","Alabama","01","010","DeKalb County","049","0490","DeKalb County, Alabama",36853,1449
"G0100510","2008-2012","Alabama","01","010","Elmore County","051","0510","Elmore County, Alabama",55514,2172
"G0100530","2008-2012","Alabama","01","010","Escambia County","053","0530","Escambia County, Alabama",31075,1361
"G0100550","2008-2012","Alabama","01","010","Etowah County","055","0550","Etowah County, Alabama",37660,1232
"G0100570","2008-2012","Alabama","01","010","Fayette County","057","0570","Fayette County, Alabama",33090,3766
"G0100590","2008-2012","Alabama","01","010","Franklin County","059","0590","Franklin County, Alabama",37235,2519
"G0100610","2008-2012","Alabama","01","010","Geneva County","061","0610","Geneva County, Alabama",33618,3137
"G0100630","2008-2012","Alabama","01","010","Greene County","063","0630","Greene County, Alabama",23777,4976
"G0100650","2008-2012","Alabama","01","010","Hale County","065","0650","Hale County, Alabama",29409,2629
"G0100670","2008-2012","Alabama","01","010","Henry County","067","0670","Henry County, Alabama",40680,2576
"G0100690","2008-2012","Alabama","01","010","Houston County","069","0690","Houston County, Alabama",41828,784
"G0100710","2008-2012","Alabama","01","010","Jackson County","071","0710","Jackson County, Alabama",37059,1568
"G0100730","2008-2012","Alabama","01","010","Jefferson County","073","0730","Jefferson County, Alabama",45415,805
"G0100750","2008-2012","Alabama","01","010","Lamar County","075","0750","Lamar County, Alabama",35271,3204
"G0100770","2008-2012","Alabama","01","010","Lauderdale County","077","0770","Lauderdale County, Alabama",40701,1335
"G0100790","2008-2012","Alabama","01","010","Lawrence County","079","0790","Lawrence County, Alabama",39526,2484
"G0100810","2008-2012","Alabama","01","010","Lee County","081","0810","Lee County, Alabama",43189,1551
"G0100830","2008-2012","Alabama","01","010","Limestone County","083","0830","Limestone County, Alabama",48197,1409
"G0100850","2008-2012","Alabama","01","010","Lowndes County","085","0850","Lowndes County, Alabama",28023,2979
"G0100870","2008-2012","Alabama","01","010","Macon County","087","0870","Macon County, Alabama",27957,2989
"G0100890","2008-2012","Alabama","01","010","Madison County","089","0890","Madison County, Alabama",58242,1045
"G0100910","2008-2012","Alabama","01","010","Marengo County","091","0910","Marengo County, Alabama",34515,2404
"G0100930","2008-2012","Alabama","01","010","Marion County","093","0930","Marion County, Alabama",31970,1370
"G0100950","2008-2012","Alabama","01","010","Marshall County","095","0950","Marshall County, Alabama",38649,1971
