GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AV0001,AV0002,AV0003,AV0004,AV0005,AV0006,AV0007,AV0008
"G0100010","1890","Alabama","010","Autauga","0010","Autauga",2342,2359,30,38,18,9,4188,4346
"G0100030","1890","Alabama","010","Baldwin","0030","Baldwin",2655,2597,148,150,91,37,1659,1604
"G0100050","1890","Alabama","010","Barbour","0050","Barbour",5896,7200,130,143,52,33,10412,11032
"G0100070","1890","Alabama","010","Bibb","0070","Bibb",4177,4156,153,143,306,145,2486,2258
"G0100090","1890","Alabama","010","Blount","0090","Blount",9963,9885,92,92,80,43,1041,731
"G0100110","1890","Alabama","010","Bullock","0110","Bullock",2930,3059,21,30,8,7,10322,10686
"G0100130","1890","Alabama","010","Butler","0130","Butler",5501,5700,39,47,31,8,5068,5247
"G0100150","1890","Alabama","010","Calhoun","0150","Calhoun",11787,11202,284,240,280,154,5135,4753
"G0100170","1890","Alabama","010","Chambers","0170","Chambers",6108,6180,76,64,18,14,6811,7048
"G0100190","1890","Alabama","010","Cherokee","0190","Cherokee",8789,8735,56,43,29,4,1479,1324
"G0100210","1890","Alabama","010","Chilton","0210","Chilton",5777,5601,41,40,20,4,1594,1472
"G0100230","1890","Alabama","010","Choctaw","0230","Choctaw",4082,4020,41,44,18,4,4629,4688
"G0100250","1890","Alabama","010","Clarke","0250","Clarke",4841,4735,37,50,14,8,6577,6362
"G0100270","1890","Alabama","010","Clay","0270","Clay",6941,7035,41,37,6,1,846,858
"G0100290","1890","Alabama","010","Cleburne","0290","Cleburne",5982,6099,160,177,5,4,409,382
"G0100310","1890","Alabama","010","Coffee","0310","Coffee",5106,5100,15,10,6,0,949,984
"G0100330","1890","Alabama","010","Colbert","0330","Colbert",5998,5764,209,174,149,67,3886,3942
"G0100350","1890","Alabama","010","Conecuh","0350","Conecuh",3999,3914,23,26,19,6,3260,3347
"G0100370","1890","Alabama","010","Coosa","0370","Coosa",5273,5237,16,20,6,0,2660,2694
"G0100390","1890","Alabama","010","Covington","0390","Covington",3318,3353,9,10,3,2,424,417
"G0100410","1890","Alabama","010","Crenshaw","0410","Crenshaw",5843,5876,10,12,3,1,1787,1893
"G0100430","1890","Alabama","010","Cullman","0430","Cullman",5800,5687,531,523,477,383,20,18
"G0100450","1890","Alabama","010","Dale","0450","Dale",6906,6901,30,16,11,3,1726,1632
"G0100470","1890","Alabama","010","Dallas","0470","Dallas",3419,3658,320,310,212,97,19950,21384
"G0100490","1890","Alabama","010","DeKalb","0490","Dekalb",9880,9609,140,105,116,47,690,519
"G0100510","1890","Alabama","010","Elmore","0510","Elmore",5607,5699,53,42,25,17,5181,5108
"G0100530","1890","Alabama","010","Escambia","0530","Escambia",2875,2829,52,30,42,15,1479,1344
"G0100550","1890","Alabama","010","Etowah","0550","Etowah",9054,8834,93,75,94,21,1941,1814
"G0100570","1890","Alabama","010","Fayette","0570","Fayette",5489,5587,35,22,8,0,835,847
"G0100590","1890","Alabama","010","Franklin","0590","Franklin",4699,4735,34,24,20,8,564,597
"G0100610","1890","Alabama","010","Geneva","0610","Geneva",4833,4782,22,15,10,2,527,499
"G0100630","1890","Alabama","010","Greene","0630","Greene",1528,1598,42,40,22,5,9103,9669
"G0100650","1890","Alabama","010","Hale","0650","Hale",2581,2477,35,46,31,10,11046,11275
"G0100670","1890","Alabama","010","Henry","0670","Henry",8012,7944,31,33,16,2,4498,4311
"G0100710","1890","Alabama","010","Jackson","0710","Jackson",12137,11836,66,83,41,16,1955,1892
"G0100730","1890","Alabama","010","Jefferson","0730","Jefferson",24716,21696,2537,2306,3226,1853,18223,13944
"G0100750","1890","Alabama","010","Lamar","0750","Lamar",5605,5772,24,24,10,4,1373,1375
"G0100770","1890","Alabama","010","Lauderdale","0770","Lauderdale",8001,7763,262,260,223,138,3654,3438
"G0100790","1890","Alabama","010","Lawrence","0790","Lawrence",6302,6149,41,32,22,7,3864,4308
"G0100810","1890","Alabama","010","Lee","0810","Lee",5765,6274,57,48,35,18,8071,8426
"G0100830","1890","Alabama","010","Limestone","0830","Limestone",5966,5991,84,58,67,32,4496,4507
"G0100850","1890","Alabama","010","Lowndes","0850","Lowndes",2256,2227,30,26,18,6,13553,13434
"G0100870","1890","Alabama","010","Macon","0870","Macon",2052,2133,29,26,6,5,6964,7224
"G0100890","1890","Alabama","010","Madison","0890","Madison",9440,9366,195,151,124,69,9119,9655
