GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A8L001,A8L002,A8L003,A8L004,A8L005,A8L006
"G0100010","1920","Alabama","010","Autauga","0010","Autauga",4114,4074,15,9,5169,5527
"G0100030","1920","Alabama","010","Baldwin","0030","Baldwin",7474,7055,803,605,2381,2400
"G0100050","1920","Alabama","010","Barbour","0050","Barbour",6359,6265,15,7,9199,10220
"G0100070","1920","Alabama","010","Bibb","0070","Bibb",7594,7353,249,131,4065,3752
"G0100090","1920","Alabama","010","Blount","0090","Blount",12206,11887,18,9,720,698
"G0100110","1920","Alabama","010","Bullock","0110","Bullock",2319,2351,8,4,9911,10739
"G0100130","1920","Alabama","010","Butler","0130","Butler",7478,7438,25,8,6913,7667
"G0100150","1920","Alabama","010","Calhoun","0150","Calhoun",17857,17632,148,95,5812,6277
"G0100170","1920","Alabama","010","Chambers","0170","Chambers",10601,10847,15,14,9575,10149
"G0100190","1920","Alabama","010","Cherokee","0190","Cherokee",9526,9248,8,1,1066,1013
"G0100210","1920","Alabama","010","Chilton","0210","Chilton",9482,9224,63,38,2006,1957
"G0100230","1920","Alabama","010","Choctaw","0230","Choctaw",4796,4473,28,4,5686,5766
"G0100250","1920","Alabama","010","Clarke","0250","Clarke",6420,6054,21,7,6800,7106
"G0100270","1920","Alabama","010","Clay","0270","Clay",9762,9687,8,9,1579,1600
"G0100290","1920","Alabama","010","Cleburne","0290","Cleburne",6309,6276,20,20,390,345
"G0100310","1920","Alabama","010","Coffee","0310","Coffee",12014,11750,7,4,3168,3126
"G0100330","1920","Alabama","010","Colbert","0330","Colbert",10687,9971,124,63,5759,5393
"G0100350","1920","Alabama","010","Conecuh","0350","Conecuh",6805,6672,12,1,5310,5793
"G0100370","1920","Alabama","010","Coosa","0370","Coosa",4524,4505,2,2,2905,2901
"G0100390","1920","Alabama","010","Covington","0390","Covington",15294,14773,34,15,4105,3882
"G0100410","1920","Alabama","010","Crenshaw","0410","Crenshaw",7996,7904,1,0,3470,3645
"G0100430","1920","Alabama","010","Cullman","0430","Cullman",16153,15910,316,212,243,200
"G0100450","1920","Alabama","010","Dale","0450","Dale",8858,8815,4,3,2450,2581
"G0100470","1920","Alabama","010","Dallas","0470","Dallas",6050,6182,136,64,19827,22438
"G0100490","1920","Alabama","010","DeKalb","0490","Dekalb",16973,16638,23,21,379,392
"G0100510","1920","Alabama","010","Elmore","0510","Elmore",8217,7906,14,4,5909,6035
"G0100530","1920","Alabama","010","Escambia","0530","Escambia",7944,7882,33,19,3065,3228
"G0100550","1920","Alabama","010","Etowah","0550","Etowah",19948,19520,168,108,3934,3594
"G0100570","1920","Alabama","010","Fayette","0570","Fayette",8023,7846,10,5,1232,1249
"G0100590","1920","Alabama","010","Franklin","0590","Franklin",10391,10165,22,15,691,727
"G0100610","1920","Alabama","010","Geneva","0610","Geneva",12505,12386,15,4,2173,2231
"G0100630","1920","Alabama","010","Greene","0630","Greene",1548,1513,25,4,7121,7922
"G0100650","1920","Alabama","010","Hale","0650","Hale",3181,3170,29,12,8572,9324
"G0100670","1920","Alabama","010","Henry","0670","Henry",5550,5529,11,4,5103,5350
"G0100690","1920","Alabama","010","Houston","0690","Houston",13470,13381,39,22,5074,5347
"G0100710","1920","Alabama","010","Jackson","0710","Jackson",16880,15941,16,4,1472,1536
"G0100730","1920","Alabama","010","Jefferson","0730","Jefferson",87470,84257,4672,3331,65887,64404
"G0100750","1920","Alabama","010","Lamar","0750","Lamar",7766,7521,6,6,1441,1409
"G0100770","1920","Alabama","010","Lauderdale","0770","Lauderdale",15807,15447,119,66,4254,3863
"G0100790","1920","Alabama","010","Lawrence","0790","Lawrence",8956,8603,5,4,3266,3473
"G0100810","1920","Alabama","010","Lee","0810","Lee",6911,7062,42,22,9080,9704
"G0100830","1920","Alabama","010","Limestone","0830","Limestone",10997,10619,50,47,4769,4859
"G0100850","1920","Alabama","010","Lowndes","0850","Lowndes",1667,1710,10,3,10501,11515
"G0100870","1920","Alabama","010","Macon","0870","Macon",2007,1932,6,2,9208,10406
"G0100890","1920","Alabama","010","Madison","0890","Madison",16971,16678,73,63,8512,8971
"G0100910","1920","Alabama","010","Marengo","0910","Marengo",4981,4898,49,25,12390,13721
"G0100930","1920","Alabama","010","Marion","0930","Marion",10794,10584,8,1,297,324
"G0100950","1920","Alabama","010","Marshall","0950","Marshall",15797,15569,13,3,636,651
"G0100970","1920","Alabama","010","Mobile","0970","Mobile",28440,29237,1641,1094,19322,20345
"G0100990","1920","Alabama","010","Monroe","0990","Monroe",6541,6331,11,5,7865,8080
"G0101010","1920","Alabama","010","Montgomery","1010","Montgomery",15550,16022,497,313,22336,26127
"G0101030","1920","Alabama","010","Morgan","1030","Morgan",16354,15877,154,75,3777,3959
"G0101050","1920","Alabama","010","Perry","1050","Perry",3494,3580,24,16,8786,9472
"G0101070","1920","Alabama","010","Pickens","1070","Pickens",6648,6366,10,5,6030,6294
"G0101090","1920","Alabama","010","Pike","1090","Pike",8394,8416,14,11,7086,7709
"G0101110","1920","Alabama","010","Randolph","1110","Randolph",10645,10478,4,0,2925,3011
"G0101130","1920","Alabama","010","Russell","1130","Russell",3221,3266,15,10,9855,11080
"G0101150","1920","Alabama","010","St Clair","1150","St Clair",9589,9293,33,19,2284,2165
"G0101170","1920","Alabama","010","Shelby","1170","Shelby",10189,9775,57,31,3721,3323
"G0101190","1920","Alabama","010","Sumter","1190","Sumter",2866,2809,50,13,9517,10314
