GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BDK001,BDK002,BDK003,BDK004,BDK005,BDK006
"G0100010","1930","Alabama","010","Autauga","0010","Autauga",4492,4295,5320,5587,0,0
"G0100030","1930","Alabama","010","Baldwin","0030","Baldwin",11141,10343,3439,3359,5,2
"G0100050","1930","Alabama","010","Barbour","0050","Barbour",6872,6894,8914,9745,0,0
"G0100070","1930","Alabama","010","Bibb","0070","Bibb",7211,6693,3603,3273,0,0
"G0100090","1930","Alabama","010","Blount","0090","Blount",13810,13141,566,503,0,0
"G0100110","1930","Alabama","010","Bullock","0110","Bullock",2130,2132,7458,8296,0,0
"G0100130","1930","Alabama","010","Butler","0130","Butler",7781,7732,6833,7849,0,0
"G0100150","1930","Alabama","010","Calhoun","0150","Calhoun",21601,21470,5993,6543,3,1
"G0100170","1930","Alabama","010","Chambers","0170","Chambers",10633,10752,8562,9366,0,0
"G0100190","1930","Alabama","010","Cherokee","0190","Cherokee",9337,9051,920,911,0,0
"G0100210","1930","Alabama","010","Chilton","0210","Chilton",10525,10086,1932,2036,0,0
"G0100230","1930","Alabama","010","Choctaw","0230","Choctaw",4831,4445,5660,5576,1,0
"G0100250","1930","Alabama","010","Clarke","0250","Clarke",6376,6014,6787,6838,1,0
"G0100270","1930","Alabama","010","Clay","0270","Clay",7575,7466,1388,1339,0,0
"G0100290","1930","Alabama","010","Cleburne","0290","Cleburne",6142,5967,410,356,2,0
"G0100310","1930","Alabama","010","Coffee","0310","Coffee",12954,12708,3447,3447,0,0
"G0100330","1930","Alabama","010","Colbert","0330","Colbert",10736,10641,4074,4408,0,1
"G0100350","1930","Alabama","010","Conecuh","0350","Conecuh",7289,7045,5399,5696,0,0
"G0100370","1930","Alabama","010","Coosa","0370","Coosa",4001,3819,2353,2287,0,0
"G0100390","1930","Alabama","010","Covington","0390","Covington",17167,17111,3469,3609,0,0
"G0100410","1930","Alabama","010","Crenshaw","0410","Crenshaw",8245,8110,3531,3770,0,0
"G0100430","1930","Alabama","010","Cullman","0430","Cullman",20615,19995,229,212,0,0
"G0100450","1930","Alabama","010","Dale","0450","Dale",8887,8878,2637,2773,0,0
"G0100470","1930","Alabama","010","Dallas","0470","Dallas",6951,7276,19133,21734,0,0
"G0100490","1930","Alabama","010","DeKalb","0490","Dekalb",19717,19536,422,429,0,0
"G0100510","1930","Alabama","010","Elmore","0510","Elmore",10492,9605,7085,7097,1,0
"G0100530","1930","Alabama","010","Escambia","0530","Escambia",9914,9142,4325,4233,167,182
"G0100550","1930","Alabama","010","Etowah","0550","Etowah",26963,26491,5002,4942,1,0
"G0100570","1930","Alabama","010","Fayette","0570","Fayette",7927,7886,1311,1319,0,0
"G0100590","1930","Alabama","010","Franklin","0590","Franklin",12228,11725,677,742,0,0
"G0100610","1930","Alabama","010","Geneva","0610","Geneva",13183,13023,1867,2031,0,0
"G0100630","1930","Alabama","010","Greene","0630","Greene",1772,1710,7957,8306,0,0
"G0100650","1930","Alabama","010","Hale","0650","Hale",3467,3386,9442,9970,0,0
"G0100670","1930","Alabama","010","Henry","0670","Henry",5989,6042,5279,5510,0,0
"G0100690","1930","Alabama","010","Houston","0690","Houston",16266,16140,6554,6975,0,0
"G0100710","1930","Alabama","010","Jackson","0710","Jackson",17445,16747,1355,1333,1,0
"G0100730","1930","Alabama","010","Jefferson","0730","Jefferson",131841,131634,80705,87252,40,21
"G0100750","1930","Alabama","010","Lamar","0750","Lamar",7716,7434,1443,1408,0,0
"G0100770","1930","Alabama","010","Lauderdale","0770","Lauderdale",16511,16837,3688,4094,0,0
"G0100790","1930","Alabama","010","Lawrence","0790","Lawrence",10172,9717,3457,3596,0,0
"G0100810","1930","Alabama","010","Lee","0810","Lee",8612,8822,8839,9790,0,0
"G0100830","1930","Alabama","010","Limestone","0830","Limestone",13487,13155,4927,5060,0,0
"G0100850","1930","Alabama","010","Lowndes","0850","Lowndes",1640,1606,9463,10169,0,0
"G0100870","1930","Alabama","010","Macon","0870","Macon",2467,2316,11111,11209,0,0
"G0100890","1930","Alabama","010","Madison","0890","Madison",22568,22782,9456,9816,0,1
"G0100910","1930","Alabama","010","Marengo","0910","Marengo",5195,4881,12679,13670,1,0
"G0100930","1930","Alabama","010","Marion","0930","Marion",12732,12374,463,398,0,0
"G0100950","1930","Alabama","010","Marshall","0950","Marshall",19392,19129,665,607,4,5
"G0100970","1930","Alabama","010","Mobile","0970","Mobile",37951,38005,19659,22596,87,65
"G0100990","1930","Alabama","010","Monroe","0990","Monroe",7224,7026,7910,7872,20,18
"G0101010","1930","Alabama","010","Montgomery","1010","Montgomery",23292,23230,24230,27914,5,0
"G0101030","1930","Alabama","010","Morgan","1030","Morgan",19052,18813,4070,4241,0,0
"G0101050","1930","Alabama","010","Perry","1050","Perry",3586,3643,9266,9890,0,0
"G0101070","1930","Alabama","010","Pickens","1070","Pickens",6631,6339,5775,6157,0,0
"G0101090","1930","Alabama","010","Pike","1090","Pike",8865,8836,6991,7548,0,0
"G0101110","1930","Alabama","010","Randolph","1110","Randolph",10519,10458,2897,2987,0,0
"G0101130","1930","Alabama","010","Russell","1130","Russell",3938,3877,9209,10353,0,0
"G0101150","1930","Alabama","010","St Clair","1150","St Clair",10090,9588,2448,2384,0,0
"G0101170","1930","Alabama","010","Shelby","1170","Shelby",10585,10018,3635,3338,0,0
"G0101190","1930","Alabama","010","Sumter","1190","Sumter",2844,2838,10173,11074,0,0
"G0101210","1930","Alabama","010","Talladega","1210","Talladega",14000,14087,8345,8807,2,0
"G0101230","1930","Alabama","010","Tallapoosa","1230","Tallapoosa",10740,10675,4781,4992,0,0
"G0101250","1930","Alabama","010","Tuscaloosa","1250","Tuscaloosa",21395,21190,10525,11041,2,0
"G0101270","1930","Alabama","010","Walker","1270","Walker",26232,25400,4050,3763,0,0
"G0101290","1930","Alabama","010","Washington","1290","Washington",5044,4508,3537,3276,0,0
"G0101310","1930","Alabama","010","Wilcox","1310","Wilcox",2805,2756,9368,9951,0,0
"G0101330","1930","Alabama","010","Winston","1330","Winston",7731,7782,46,37,0,0
"G0250015","1930","Alaska Territory","025","First Judicicial Dist","0015","First Judicicial Dist",8242,4635,,,3350,3077
"G0250035","1930","Alaska Territory","025","Fourth Judicicial Dist","0035","Fourth Judicicial Dist",4202,1286,,,4050,4000
"G0250075","1930","Alaska Territory","025","Second Judicicial Dist","0075","Second Judicicial Dist",1070,357,,,4455,4245
"G0250115","1930","Alaska Territory","025","Third Judicicial Dist","0115","Third Judicicial Dist",6390,2458,,,4005,3456
"G0400010","1930","Arizona","040","Apache","0010","Apache",2068,1718,189,149,7015,6626
"G0400030","1930","Arizona","040","Cochise","0030","Cochise",14039,11818,1493,417,6468,6763
"G0400050","1930","Arizona","040","Coconino","0050","Coconino",3635,3015,55,60,3784,3515
"G0400070","1930","Arizona","040","Gila","0070","Gila",9838,8188,79,82,6644,6185
"G0400090","1930","Arizona","040","Graham","0090","Graham",3980,3633,30,23,1407,1300
"G0400110","1930","Arizona","040","Greenlee","0110","Greenlee",2735,2307,22,6,2548,2268
"G0400130","1930","Arizona","040","Maricopa","0130","Maricopa",56495,51789,2526,2353,20061,17746
"G0400150","1930","Arizona","040","Mohave","0150","Mohave",2423,1674,0,0,843,632
"G0400170","1930","Arizona","040","Navajo","0170","Navajo",4309,3827,48,50,6774,6194
"G0400190","1930","Arizona","040","Pima","0190","Pima",16957,15769,653,598,10827,10872
"G0400210","1930","Arizona","040","Pinal","0210","Pinal",5770,4394,170,64,6272,5411
