GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BV2001,BV2002,BV2003,BV2004,BV2005,BV2006
"G0100010","1940","Alabama","010","Autauga","0010","Autauga",4980,4803,5433,5761,0,0
"G0100030","1940","Alabama","010","Baldwin","0030","Baldwin",12570,11670,4088,3983,9,4
"G0100050","1940","Alabama","010","Barbour","0050","Barbour",7226,7337,8543,9616,0,0
"G0100070","1940","Alabama","010","Bibb","0070","Bibb",6883,6636,3381,3249,1,5
"G0100090","1940","Alabama","010","Blount","0090","Blount",14510,13717,689,574,0,0
"G0100110","1940","Alabama","010","Bullock","0110","Bullock",2178,2173,7300,8159,0,0
"G0100130","1940","Alabama","010","Butler","0130","Butler",8428,8331,7466,8222,0,0
"G0100150","1940","Alabama","010","Calhoun","0150","Calhoun",25176,25152,6163,6826,2,0
"G0100170","1940","Alabama","010","Chambers","0170","Chambers",12047,12163,8624,9270,22,20
"G0100190","1940","Alabama","010","Cherokee","0190","Cherokee",9334,8869,853,872,0,0
"G0100210","1940","Alabama","010","Chilton","0210","Chilton",11881,11439,2323,2311,0,1
"G0100230","1940","Alabama","010","Choctaw","0230","Choctaw",4908,4560,5370,5357,0,0
"G0100250","1940","Alabama","010","Clarke","0250","Clarke",6733,6482,7174,7243,2,2
"G0100270","1940","Alabama","010","Clay","0270","Clay",7145,7144,1275,1343,0,0
"G0100290","1940","Alabama","010","Cleburne","0290","Cleburne",6398,6239,547,445,0,0
"G0100310","1940","Alabama","010","Coffee","0310","Coffee",12723,12705,3216,3343,0,0
"G0100330","1940","Alabama","010","Colbert","0330","Colbert",12783,12730,4062,4518,0,0
"G0100350","1940","Alabama","010","Conecuh","0350","Conecuh",7152,6987,5537,5813,0,0
"G0100370","1940","Alabama","010","Coosa","0370","Coosa",4401,4162,2512,2385,0,0
"G0100390","1940","Alabama","010","Covington","0390","Covington",17580,17925,3267,3645,0,0
"G0100410","1940","Alabama","010","Crenshaw","0410","Crenshaw",7988,7865,3729,4049,0,0
"G0100430","1940","Alabama","010","Cullman","0430","Cullman",23563,23198,338,243,0,1
"G0100450","1940","Alabama","010","Dale","0450","Dale",8742,8704,2514,2725,0,0
"G0100470","1940","Alabama","010","Dallas","0470","Dallas",7108,7392,19332,21412,1,0
"G0100490","1940","Alabama","010","DeKalb","0490","Dekalb",21203,21063,379,429,1,0
"G0100510","1940","Alabama","010","Elmore","0510","Elmore",10994,9934,6586,7030,2,0
"G0100530","1940","Alabama","010","Escambia","0530","Escambia",10484,10010,5048,4817,162,150
"G0100550","1940","Alabama","010","Etowah","0550","Etowah",30950,31066,5201,5362,0,1
"G0100570","1940","Alabama","010","Fayette","0570","Fayette",9349,9236,1532,1534,0,0
"G0100590","1940","Alabama","010","Franklin","0590","Franklin",13217,12870,718,747,0,0
"G0100610","1940","Alabama","010","Geneva","0610","Geneva",12529,12618,1965,2060,0,0
"G0100630","1940","Alabama","010","Greene","0630","Greene",1529,1574,7751,8331,0,0
"G0100650","1940","Alabama","010","Hale","0650","Hale",3595,3582,8972,9384,0,0
"G0100670","1940","Alabama","010","Henry","0670","Henry",5568,5636,5201,5507,0,0
"G0100690","1940","Alabama","010","Houston","0690","Houston",15492,15577,6972,7624,0,0
"G0100710","1940","Alabama","010","Jackson","0710","Jackson",19887,19297,1303,1315,0,0
"G0100730","1940","Alabama","010","Jefferson","0730","Jefferson",138649,142107,84393,94757,12,12
"G0100750","1940","Alabama","010","Lamar","0750","Lamar",8500,8231,1465,1512,0,0
"G0100770","1940","Alabama","010","Lauderdale","0770","Lauderdale",19308,19456,3546,3920,0,0
"G0100790","1940","Alabama","010","Lawrence","0790","Lawrence",10985,10615,3106,3174,0,0
"G0100810","1940","Alabama","010","Lee","0810","Lee",7842,7998,10009,10606,0,0
"G0100830","1940","Alabama","010","Limestone","0830","Limestone",13500,13310,4287,4545,0,0
"G0100850","1940","Alabama","010","Lowndes","0850","Lowndes",1761,1696,9252,9952,0,0
"G0100870","1940","Alabama","010","Macon","0870","Macon",2481,2465,11084,11624,0,0
"G0100890","1940","Alabama","010","Madison","0890","Madison",23730,24197,8987,9398,3,2
"G0100910","1940","Alabama","010","Marengo","0910","Marengo",4887,4840,12639,13370,0,0
"G0100930","1940","Alabama","010","Marion","0930","Marion",13984,13791,526,470,1,4
"G0100950","1940","Alabama","010","Marshall","0950","Marshall",20708,20517,577,593,0,0
"G0100970","1940","Alabama","010","Mobile","0970","Mobile",44638,45658,24059,27524,61,34
"G0100990","1940","Alabama","010","Monroe","0990","Monroe",6972,6876,7605,7988,16,8
"G0101010","1940","Alabama","010","Montgomery","1010","Montgomery",28943,28139,26636,30698,3,1
"G0101030","1940","Alabama","010","Morgan","1030","Morgan",19977,20021,3847,4302,0,1
"G0101050","1940","Alabama","010","Perry","1050","Perry",3734,3781,9193,9902,0,0
"G0101070","1940","Alabama","010","Pickens","1070","Pickens",7378,7187,6449,6656,0,1
"G0101090","1940","Alabama","010","Pike","1090","Pike",8643,8664,7354,7823,5,4
"G0101110","1940","Alabama","010","Randolph","1110","Randolph",9728,9924,2884,2980,0,0
"G0101130","1940","Alabama","010","Russell","1130","Russell",7286,7388,10013,11088,0,0
"G0101150","1940","Alabama","010","St Clair","1150","St Clair",11012,10616,2905,2791,6,6
"G0101170","1940","Alabama","010","Shelby","1170","Shelby",11152,10960,3496,3352,0,2
"G0101190","1940","Alabama","010","Sumter","1190","Sumter",2827,2794,10447,11253,0,0
"G0101210","1940","Alabama","010","Talladega","1210","Talladega",16496,17147,8813,9375,1,0
"G0101230","1940","Alabama","010","Tallapoosa","1230","Tallapoosa",12041,11982,5471,5776,0,0
"G0101250","1940","Alabama","010","Tuscaloosa","1250","Tuscaloosa",26112,25722,11619,12581,2,0
"G0101270","1940","Alabama","010","Walker","1270","Walker",28954,28344,3426,3476,1,0
"G0101290","1940","Alabama","010","Washington","1290","Washington",5207,4816,3124,3041,0,0
"G0101310","1940","Alabama","010","Wilcox","1310","Wilcox",2836,2870,9969,10602,2,0
"G0101330","1940","Alabama","010","Winston","1330","Winston",9491,9143,45,67,0,0
