GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,B1Z001,B1Z002,B1Z003,B1Z004
"G0100010","1950","Alabama","010","Autauga","0010","Autauga",4833,4990,3982,4381
"G0100030","1950","Alabama","010","Baldwin","0030","Baldwin",16146,15636,4568,4647
"G0100050","1950","Alabama","010","Barbour","0050","Barbour",6613,6852,7191,8236
"G0100070","1950","Alabama","010","Bibb","0070","Bibb",6113,6044,2886,2944
"G0100090","1950","Alabama","010","Blount","0090","Blount",14344,13807,413,411
"G0100110","1950","Alabama","010","Bullock","0110","Bullock",2116,2123,5543,6272
"G0100130","1950","Alabama","010","Butler","0130","Butler",8005,8116,6270,6837
"G0100150","1950","Alabama","010","Calhoun","0150","Calhoun",31890,32476,7259,7914
"G0100170","1950","Alabama","010","Chambers","0170","Chambers",12195,12834,6850,7649
"G0100190","1950","Alabama","010","Cherokee","0190","Cherokee",8087,7898,842,807
"G0100210","1950","Alabama","010","Chilton","0210","Chilton",11415,11193,2130,2184
"G0100230","1950","Alabama","010","Choctaw","0230","Choctaw",4654,4435,5064,4999
"G0100250","1950","Alabama","010","Clarke","0250","Clarke",6682,6662,6527,6677
"G0100270","1950","Alabama","010","Clay","0270","Clay",5910,5809,1011,1199
"G0100290","1950","Alabama","010","Cleburne","0290","Cleburne",5629,5486,411,378
"G0100310","1950","Alabama","010","Coffee","0310","Coffee",12134,12110,3108,3368
"G0100330","1950","Alabama","010","Colbert","0330","Colbert",15528,15710,3966,4357
"G0100350","1950","Alabama","010","Conecuh","0350","Conecuh",5949,5957,4726,5144
"G0100370","1950","Alabama","010","Coosa","0370","Coosa",3963,3872,1979,1952
"G0100390","1950","Alabama","010","Covington","0390","Covington",16921,17364,2822,3266
"G0100410","1950","Alabama","010","Crenshaw","0410","Crenshaw",6468,6448,2866,3199
"G0100430","1950","Alabama","010","Cullman","0430","Cullman",24315,24252,273,206
"G0100450","1950","Alabama","010","Dale","0450","Dale",8028,7957,2294,2549
"G0100470","1950","Alabama","010","Dallas","0470","Dallas",9643,10076,17097,19454
"G0100490","1950","Alabama","010","DeKalb","0490","Dekalb",22157,22054,406,431
"G0100510","1950","Alabama","010","Elmore","0510","Elmore",10288,9962,5625,5774
"G0100530","1950","Alabama","010","Escambia","0530","Escambia",10483,10397,5259,5304
"G0100550","1950","Alabama","010","Etowah","0550","Etowah",39441,40918,6577,6956
"G0100570","1950","Alabama","010","Fayette","0570","Fayette",8290,8233,1411,1454
"G0100590","1950","Alabama","010","Franklin","0590","Franklin",12274,12091,684,656
"G0100610","1950","Alabama","010","Geneva","0610","Geneva",11179,11311,1626,1783
"G0100630","1950","Alabama","010","Greene","0630","Greene",1387,1413,6601,7081
"G0100650","1950","Alabama","010","Hale","0650","Hale",3079,3112,7104,7537
"G0100670","1950","Alabama","010","Henry","0670","Henry",4816,4756,4373,4729
"G0100690","1950","Alabama","010","Houston","0690","Houston",16265,16588,6385,7284
"G0100710","1950","Alabama","010","Jackson","0710","Jackson",18480,18210,1125,1183
"G0100730","1950","Alabama","010","Jefferson","0730","Jefferson",169967,180345,98086,110530
"G0100750","1950","Alabama","010","Lamar","0750","Lamar",7077,6931,1254,1179
"G0100770","1950","Alabama","010","Lauderdale","0770","Lauderdale",23256,23670,3442,3811
"G0100790","1950","Alabama","010","Lawrence","0790","Lawrence",10862,10330,2912,3024
"G0100810","1950","Alabama","010","Lee","0810","Lee",14610,12341,8537,9585
"G0100830","1950","Alabama","010","Limestone","0830","Limestone",13903,13715,3998,4150
"G0100850","1950","Alabama","010","Lowndes","0850","Lowndes",1631,1583,7097,7707
"G0100870","1950","Alabama","010","Macon","0870","Macon",2408,2369,13876,11908
"G0100890","1950","Alabama","010","Madison","0890","Madison",26136,26958,9477,10332
"G0100910","1950","Alabama","010","Marengo","0910","Marengo",4520,4498,9985,10491
"G0100930","1950","Alabama","010","Marion","0930","Marion",13323,13216,350,375
"G0100950","1950","Alabama","010","Marshall","0950","Marshall",21984,22056,493,557
"G0100970","1950","Alabama","010","Mobile","0970","Mobile",75260,77846,36881,41118
"G0100990","1950","Alabama","010","Monroe","0990","Monroe",6250,6327,6429,6726
"G0101010","1950","Alabama","010","Montgomery","1010","Montgomery",38175,40174,28096,32520
"G0101030","1950","Alabama","010","Morgan","1030","Morgan",22179,22825,3698,4222
"G0101050","1950","Alabama","010","Perry","1050","Perry",3258,3392,6608,7181
"G0101070","1950","Alabama","010","Pickens","1070","Pickens",6403,6286,5600,6060
"G0101090","1950","Alabama","010","Pike","1090","Pike",8518,8570,6496,7024
"G0101110","1950","Alabama","010","Randolph","1110","Randolph",8345,8351,2804,3013
"G0101130","1950","Alabama","010","Russell","1130","Russell",9565,9795,9922,11082
"G0101150","1950","Alabama","010","St Clair","1150","St Clair",10996,10835,2400,2456
"G0101170","1950","Alabama","010","Shelby","1170","Shelby",11567,12183,3270,3342
"G0101190","1950","Alabama","010","Sumter","1190","Sumter",2846,2805,8635,9324
"G0101210","1950","Alabama","010","Talladega","1210","Talladega",21332,22250,9678,10379
"G0101230","1950","Alabama","010","Tallapoosa","1230","Tallapoosa",12665,12365,4754,5290
"G0101250","1950","Alabama","010","Tuscaloosa","1250","Tuscaloosa",35100,33114,12441,13437
"G0101270","1950","Alabama","010","Walker","1270","Walker",28472,28450,3319,3528
"G0101290","1950","Alabama","010","Washington","1290","Washington",4796,4675,3084,3057
"G0101310","1950","Alabama","010","Wilcox","1310","Wilcox",2393,2519,9001,9563
"G0101330","1950","Alabama","010","Winston","1330","Winston",9197,8951,49,53
"G0250015","1950","Alaska Territory","025","First Judicicial Dist","0015","First Judicicial Dist",11249,8409,4465,4080
"G0250035","1950","Alaska Territory","025","Fourth Judicicial Dist","0035","Fourth Judicicial Dist",13537,6371,4582,4160
"G0250075","1950","Alaska Territory","025","Second Judicicial Dist","0075","Second Judicicial Dist",1342,630,5327,4973
"G0250115","1950","Alaska Territory","025","Third Judicicial Dist","0115","Third Judicicial Dist",34262,17008,4708,3540
"G0400010","1950","Arizona","040","Apache","0010","Apache",3446,3289,10623,10409
"G0400030","1950","Arizona","040","Cochise","0030","Cochise",15076,15908,253,251
"G0400050","1950","Arizona","040","Coconino","0050","Coconino",7903,7330,4400,4277
"G0400070","1950","Arizona","040","Gila","0070","Gila",10775,10510,1440,1433
"G0400090","1950","Arizona","040","Graham","0090","Graham",5913,5624,773,675
"G0400110","1950","Arizona","040","Greenlee","0110","Greenlee",6500,6027,154,124
"G0400130","1950","Arizona","040","Maricopa","0130","Maricopa",155312,155274,10837,10347
"G0400150","1950","Arizona","040","Mohave","0150","Mohave",4105,3708,425,272
"G0400170","1950","Arizona","040","Navajo","0170","Navajo",7263,7144,7581,7458
"G0400190","1950","Arizona","040","Pima","0190","Pima",64855,64410,6204,5747
"G0400210","1950","Arizona","040","Pinal","0210","Pinal",18734,16861,4099,3497
