GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,B5S001,B5S002,B5S003,B5S004,B5S005,B5S006,B5S007,B5S008,B5S009,B5S010,B5S011,B5S012,B5S013,B5S014
"G0100010","1960","Alabama","010","Autauga","0010","Autauga",5268,3749,0,0,0,0,4,5571,4139,3,2,0,0,3
"G0100030","1960","Alabama","010","Baldwin","0030","Baldwin",19381,5123,2,1,1,4,2,19378,5186,2,2,1,2,3
"G0100050","1960","Alabama","010","Barbour","0050","Barbour",5784,5847,2,3,0,0,0,6066,6993,2,3,0,0,0
"G0100070","1960","Alabama","010","Bibb","0070","Bibb",4935,2158,0,0,0,0,0,5005,2259,0,0,0,0,0
"G0100090","1960","Alabama","010","Blount","0090","Blount",12305,413,0,0,0,0,0,12308,422,0,1,0,0,0
"G0100110","1960","Alabama","010","Bullock","0110","Bullock",1875,4502,0,1,0,0,0,1906,5177,1,0,0,0,0
"G0100130","1960","Alabama","010","Butler","0130","Butler",6557,5181,0,0,0,0,0,7018,5804,0,0,0,0,0
"G0100150","1960","Alabama","010","Calhoun","0150","Calhoun",37953,8582,17,19,8,1,21,39852,9354,10,31,4,3,23
"G0100170","1960","Alabama","010","Chambers","0170","Chambers",11585,6499,1,0,0,0,0,12374,7364,5,0,0,0,0
"G0100190","1960","Alabama","010","Cherokee","0190","Cherokee",7324,836,0,0,0,0,3,7286,849,3,0,0,0,2
"G0100210","1960","Alabama","010","Chilton","0210","Chilton",10787,2046,0,0,0,0,0,10828,2029,2,1,0,0,0
"G0100230","1960","Alabama","010","Choctaw","0230","Choctaw",4602,4288,0,0,1,0,0,4410,4569,0,0,0,0,0
"G0100250","1960","Alabama","010","Clarke","0250","Clarke",6464,6254,2,0,0,1,0,6523,6490,4,0,0,0,0
"G0100270","1960","Alabama","010","Clay","0270","Clay",5185,963,5,0,0,0,0,5187,1053,7,0,0,0,0
"G0100290","1960","Alabama","010","Cleburne","0290","Cleburne",5063,382,2,0,0,0,0,5149,315,0,0,0,0,0
"G0100310","1960","Alabama","010","Coffee","0310","Coffee",11922,3053,1,0,0,0,3,12298,3291,4,7,0,0,4
"G0100330","1960","Alabama","010","Colbert","0330","Colbert",18598,4207,1,0,0,0,1,18926,4768,3,2,0,0,0
"G0100350","1960","Alabama","010","Conecuh","0350","Conecuh",4731,3850,9,0,0,0,0,4943,4211,16,0,1,1,0
"G0100370","1960","Alabama","010","Coosa","0370","Coosa",3367,1938,1,0,0,0,0,3480,1940,0,0,0,0,0
"G0100390","1960","Alabama","010","Covington","0390","Covington",14471,2697,0,0,0,0,0,15409,3050,3,0,0,0,1
"G0100410","1960","Alabama","010","Crenshaw","0410","Crenshaw",5035,2219,1,0,0,0,0,5231,2420,1,1,1,0,0
"G0100430","1960","Alabama","010","Cullman","0430","Cullman",22505,305,0,2,0,0,0,22546,209,0,1,3,0,1
"G0100450","1960","Alabama","010","Dale","0450","Dale",13510,2724,11,35,5,2,5,11949,2749,6,54,3,3,10
"G0100470","1960","Alabama","010","Dallas","0470","Dallas",11596,15191,1,2,1,0,8,12356,17496,1,9,1,0,5
"G0100490","1960","Alabama","010","DeKalb","0490","Dekalb",20019,368,0,0,0,0,1,20577,451,0,0,0,0,1
"G0100510","1960","Alabama","010","Elmore","0510","Elmore",10214,4958,0,0,0,0,0,10007,5343,1,0,0,0,1
"G0100530","1960","Alabama","010","Escambia","0530","Escambia",10898,5396,257,0,0,0,0,11154,5564,241,0,0,0,1
"G0100550","1960","Alabama","010","Etowah","0550","Etowah",39942,7147,1,12,3,1,3,42040,7811,1,12,2,1,4
"G0100570","1960","Alabama","010","Fayette","0570","Fayette",6668,1263,1,0,0,0,0,6906,1310,0,0,0,0,0
"G0100590","1960","Alabama","010","Franklin","0590","Franklin",10300,593,0,0,0,1,0,10456,638,0,0,0,0,0
"G0100610","1960","Alabama","010","Geneva","0610","Geneva",9323,1577,2,0,0,0,0,9622,1781,4,1,0,0,0
"G0100630","1960","Alabama","010","Greene","0630","Greene",1236,5314,1,0,0,0,0,1310,5736,3,0,0,0,0
"G0100650","1960","Alabama","010","Hale","0650","Hale",2814,6588,1,0,0,0,1,2912,7221,0,0,0,0,0
"G0100670","1960","Alabama","010","Henry","0670","Henry",4055,3341,0,0,0,0,0,4266,3624,0,0,0,0,0
"G0100690","1960","Alabama","010","Houston","0690","Houston",17997,6451,2,4,0,0,0,18835,7419,0,8,0,2,0
"G0100710","1960","Alabama","010","Jackson","0710","Jackson",17129,1091,1,0,0,0,3,17314,1140,0,2,0,0,1
"G0100730","1960","Alabama","010","Jefferson","0730","Jefferson",199826,103122,24,16,59,4,41,215209,116420,28,31,41,9,34
"G0100750","1960","Alabama","010","Lamar","0750","Lamar",5966,1033,0,0,0,0,0,6202,1068,0,1,0,0,1
"G0100770","1960","Alabama","010","Lauderdale","0770","Lauderdale",26804,3445,8,1,2,1,1,27551,3797,6,2,0,1,3
"G0100790","1960","Alabama","010","Lawrence","0790","Lawrence",9580,2613,0,1,0,0,0,9453,2851,1,2,0,0,0
"G0100810","1960","Alabama","010","Lee","0810","Lee",16652,8669,2,3,10,4,24,14806,9564,2,5,5,0,8
"G0100830","1960","Alabama","010","Limestone","0830","Limestone",14380,3669,4,2,0,0,0,14504,3951,3,0,0,0,0
"G0100850","1960","Alabama","010","Lowndes","0850","Lowndes",1436,6043,0,0,0,0,0,1542,6395,1,0,0,0,0
"G0100870","1960","Alabama","010","Macon","0870","Macon",2197,11433,0,0,2,1,13,2208,10854,0,0,3,0,6
"G0100890","1960","Alabama","010","Madison","0890","Madison",48185,10322,15,27,14,10,14,47098,11588,8,38,9,10,10
"G0100910","1960","Alabama","010","Marengo","0910","Marengo",5101,8018,2,0,0,0,0,5163,8814,0,0,0,0,0
"G0100930","1960","Alabama","010","Marion","0930","Marion",10371,382,0,4,1,0,0,10733,345,0,1,0,0,0
"G0100950","1960","Alabama","010","Marshall","0950","Marshall",23155,553,3,1,0,0,2,23739,560,2,3,0,0,0
"G0100970","1960","Alabama","010","Mobile","0970","Mobile",104641,47839,38,12,26,25,122,108232,53129,36,35,28,12,126
"G0100990","1960","Alabama","010","Monroe","0990","Monroe",5365,5556,10,0,0,0,0,5665,5768,6,1,0,0,1
"G0101010","1960","Alabama","010","Montgomery","1010","Montgomery",51291,29979,15,19,22,11,88,53194,34495,15,42,13,14,12
"G0101030","1960","Alabama","010","Morgan","1030","Morgan",25938,3631,0,2,0,0,6,26869,3994,0,4,0,0,10
"G0101050","1960","Alabama","010","Perry","1050","Perry",2891,5361,3,0,0,0,4,3052,6040,4,0,2,0,1
"G0101070","1960","Alabama","010","Pickens","1070","Pickens",5967,4672,0,0,0,0,0,6131,5112,0,0,0,0,0
"G0101090","1960","Alabama","010","Pike","1090","Pike",7441,5140,0,0,0,0,3,7801,5600,0,2,0,0,0
"G0101110","1960","Alabama","010","Randolph","1110","Randolph",7087,2399,2,0,0,0,0,7414,2574,1,0,0,0,0
"G0101130","1960","Alabama","010","Russell","1130","Russell",11452,10730,36,0,1,1,0,11913,12176,33,7,1,0,1
"G0101150","1960","Alabama","010","St Clair","1150","St Clair",10512,2082,1,0,1,0,3,10604,2181,1,1,0,1,1
"G0101170","1960","Alabama","010","Shelby","1170","Shelby",12850,2980,2,4,1,0,0,13199,3091,1,4,0,0,0
"G0101190","1960","Alabama","010","Sumter","1190","Sumter",2346,7359,0,0,0,0,0,2397,7938,0,1,0,0,0
"G0101210","1960","Alabama","010","Talladega","1210","Talladega",21815,10137,7,0,0,0,2,22710,10815,7,1,0,0,1
"G0101230","1960","Alabama","010","Tallapoosa","1230","Tallapoosa",12034,4950,2,0,0,0,1,12854,5162,3,0,0,1,0
"G0101250","1960","Alabama","010","Tuscaloosa","1250","Tuscaloosa",38948,14733,2,1,6,0,7,38771,16570,1,2,1,0,5
"G0101270","1960","Alabama","010","Walker","1270","Walker",24004,2609,2,3,0,0,2,24580,3001,5,4,0,0,1
"G0101290","1960","Alabama","010","Washington","1290","Washington",5071,2524,144,0,1,0,0,4995,2497,139,1,0,0,0
"G0101310","1960","Alabama","010","Wilcox","1310","Wilcox",2043,7092,2,0,0,0,0,2098,7500,4,0,0,0,0
"G0101330","1960","Alabama","010","Winston","1330","Winston",7314,37,0,0,1,0,0,7463,40,0,0,3,0,0
"G0200105","1960","Alaska","020","Aleutian Islands - Elec District 14","0105","Aleutian Islands - Elec District 14",2905,77,13,22,5,80,1152,785,8,8,5,2,2,947
"G0200205","1960","Alaska","020","Anchorage - Elec District 10","0205","Anchorage - Elec District 10",42580,2178,374,147,47,85,660,33995,1432,355,195,27,40,718
"G0200405","1960","Alaska","020","Barrow - Elec District 21","0405","Barrow - Elec District 21",450,19,1,0,1,1,860,58,0,0,0,0,0,743
"G0200505","1960","Alaska","020","Bethel - Elec District 16","0505","Bethel - Elec District 16",319,11,7,0,0,0,2609,189,7,6,0,0,1,2388
"G0200605","1960","Alaska","020","Bristol Bay - Elec District 15","0605","Bristol Bay - Elec District 15",1039,26,115,8,0,22,1194,384,1,118,1,0,9,1107
"G0200805","1960","Alaska","020","Cordova-McCarthy - Elec District 07","0805","Cordova-Mc Carthy - Elec District 07",870,22,20,6,1,18,126,549,7,21,3,0,11,105
"G0200905","1960","Alaska","020","Fairbanks Northstar - Elec District 19","0905","Fairbanks Northstar - Elec District 19",23229,1533,414,71,18,33,284,16116,815,417,115,9,20,338
"G0201105","1960","Alaska","020","Juneau - Elec District 05","1105","Juneau - Elec District 05",4273,43,502,15,1,127,64,3970,49,557,16,1,65,62
"G0201205","1960","Alaska","020","Kenai-Cook Inlet - Elec District 12","1205","Kenai-Cook Inlet - Elec District 12",2976,40,233,5,0,23,185,2226,13,178,11,0,11,196
"G0201305","1960","Alaska","020","Ketchikan - Elec District 02","1305","Ketchikan - Elec District 02",4259,32,975,21,6,98,65,3483,35,984,17,1,35,59
"G0201405","1960","Alaska","020","Kobuk - Elec District 22","1405","Kobuk - Elec District 22",240,9,1,3,0,0,1640,84,0,2,9,0,0,1572
"G0201505","1960","Alaska","020","Kodiak - Elec District 13","1505","Kodiak - Elec District 13",3611,72,12,4,1,21,657,2211,46,7,7,0,5,520
"G0201605","1960","Alaska","020","Kuskokwim - Elec District 17","1605","Kuskokwim - Elec District 17",395,9,457,0,0,0,453,192,3,437,0,0,0,355
"G0201645","1960","Alaska","020","Lynn Canal-Icy Straits - Elec District 06","1645","Lynn Canal-Icy Straits - Elec District 06",999,1,576,0,4,7,19,792,0,523,0,2,1,21
"G0201805","1960","Alaska","020","Nome - Elec District 23","1805","Nome - Elec District 23",1043,61,5,4,1,1,2325,414,7,4,6,0,0,2220
"G0201905","1960","Alaska","020","Palmer-Wasilla-Talkeetna - Elec District 09","1905","Palmer-Wasilla-Talkeetna - Elec District 09",2678,0,68,2,0,0,69,2267,0,44,4,0,0,56
"G0202005","1960","Alaska","020","Prince Of Wales - Elec District 01","2005","Prince Of Wales - Elec District 01",739,1,372,0,1,5,3,331,0,314,0,0,0,6
"G0202015","1960","Alaska","020","Seward - Elec District 11","2015","Seward - Elec District 11",1451,8,26,0,0,5,125,1169,2,30,0,0,0,140
"G0202205","1960","Alaska","020","Sitka - Elec District 04","2205","Sitka - Elec District 04",2180,16,1036,28,1,22,406,1559,19,998,22,4,2,397
"G0202505","1960","Alaska","020","Upper Yukon - Elec District 20","2505","Upper Yukon - Elec District 20",330,5,553,0,0,0,99,85,0,469,1,0,0,77
"G0202605","1960","Alaska","020","Valdez-Chitina-Whittier - Elec District 08","2605","Valdez-Chitina-Whittier - Elec District 08",1327,59,169,3,1,6,144,823,21,162,11,0,4,114
"G0202705","1960","Alaska","020","Wade Hapton - Elec District 24","2705","Wade Hapton - Elec District 24",136,5,0,2,0,0,1509,37,0,0,0,0,0,1439
"G0202805","1960","Alaska","020","Wrangell-Petersburg - Elec District 03","2805","Wrangell-Petersburg - Elec District 03",1526,0,518,29,1,42,119,1243,1,532,24,0,12,134
"G0202905","1960","Alaska","020","Yukon-Koyukuk - Elec District 18","2905","Yukon-Koyukuk - Elec District 18",1639,74,965,0,2,0,80,390,4,866,1,0,0,76
"G0400010","1960","Arizona","040","Apache","0010","Apache",3453,399,11313,2,0,1,8,3382,375,11501,0,0,0,4
"G0400030","1960","Arizona","040","Cochise","0030","Cochise",27309,781,55,114,22,56,21,25756,567,53,201,23,55,26
"G0400050","1960","Arizona","040","Coconino","0050","Coconino",14798,596,5757,5,37,0,24,14090,596,5911,5,21,0,17
"G0400070","1960","Arizona","040","Gila","0070","Gila",11036,49,1783,10,13,2,2,11053,51,1730,6,9,0,1
"G0400090","1960","Arizona","040","Graham","0090","Graham",6413,219,636,0,27,0,3,5974,141,613,1,18,0,0
"G0400110","1960","Arizona","040","Greenlee","0110","Greenlee",5617,23,90,3,0,0,0,5655,26,92,3,0,0,0
