GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1800
"G0900010","1800","Connecticut","09","090","Fairfield County","001","0010","Fairfield",38208
"G0900030","1800","Connecticut","09","090","Hartford County","003","0030","Hartford",42147
"G0900050","1800","Connecticut","09","090","Litchfield County","005","0050","Litchfield",41214
"G0900070","1800","Connecticut","09","090","Middlesex County","007","0070","Middlesex",19847
"G0900090","1800","Connecticut","09","090","New Haven County","009","0090","New Haven",32162
"G0900110","1800","Connecticut","09","090","New London County","011","0110","New London",34883
"G0900130","1800","Connecticut","09","090","Tolland County","013","0130","Tolland",14319
"G0900150","1800","Connecticut","09","090","Windham County","015","0150","Windham",28222
"G1000010","1800","Delaware","10","100","Kent County","001","0010","Kent",19554
"G1000030","1800","Delaware","10","100","New Castle County","003","0030","New Castle",25361
"G1000050","1800","Delaware","10","100","Sussex County","005","0050","Sussex",19358
"G1100015","1800","District Of Columbia","11","110","District of Columbia (old)",,"0015","District of Columbia (old)",4971
"G1300290","1800","Georgia","13","130","Bryan County","029","0290","Bryan",2836
"G1300310","1800","Georgia","13","130","Bulloch County","031","0310","Bulloch",1913
"G1300330","1800","Georgia","13","130","Burke County","033","0330","Burke",9504
"G1300390","1800","Georgia","13","130","Camden County","039","0390","Camden",1681
"G1300510","1800","Georgia","13","130","Chatham County","051","0510","Chatham",12946
"G1300730","1800","Georgia","13","130","Columbia County","073","0730","Columbia",8345
"G1301030","1800","Georgia","13","130","Effingham County","103","1030","Effingham",2072
"G1301050","1800","Georgia","13","130","Elbert County","105","1050","Elbert",10094
"G1301190","1800","Georgia","13","130","Franklin County","119","1190","Franklin",6859
"G1301270","1800","Georgia","13","130","Glynn County","127","1270","Glynn",1874
"G1301330","1800","Georgia","13","130","Greene County","133","1330","Greene",10761
"G1301410","1800","Georgia","13","130","Hancock County","141","1410","Hancock",14456
"G1301570","1800","Georgia","13","130","Jackson County","157","1570","Jackson",7736
"G1301630","1800","Georgia","13","130","Jefferson County","163","1630","Jefferson",5684
"G1301790","1800","Georgia","13","130","Liberty County","179","1790","Liberty",5313
"G1301810","1800","Georgia","13","130","Lincoln County","181","1810","Lincoln",4766
"G1301910","1800","Georgia","13","130","McIntosh County","191","1910","Mcintosh",2660
"G1302090","1800","Georgia","13","130","Montgomery County","209","2090","Montgomery",3180
"G1302210","1800","Georgia","13","130","Oglethorpe County","221","2210","Oglethorpe",9780
"G1302450","1800","Georgia","13","130","Richmond County","245","2450","Richmond",5475
"G1302510","1800","Georgia","13","130","Screven County","251","2510","Screven",3019
"G1303010","1800","Georgia","13","130","Warren County","301","3010","Warren",8329
"G1303030","1800","Georgia","13","130","Washington County","303","3030","Washington",10300
"G1303170","1800","Georgia","13","130","Wilkes County","317","3170","Wilkes",13103
"G1850115","1800","Indiana Territory",,"185","Knox County",,"0115","Knox",2517
"G1850135","1800","Indiana Territory",,"185","Randolph County",,"0135","Randolph",1103
"G1850155","1800","Indiana Territory",,"185","St Clair County",,"0155","St Clair",1255
"G1850315","1800","Indiana Territory",,"185","Unorganized",,"0315","Unorganized",766
"G2100090","1800","Kentucky","21","210","Barren County","009","0090","Barren",4784
"G2100150","1800","Kentucky","21","210","Boone County","015","0150","Boone",1534
"G2100170","1800","Kentucky","21","210","Bourbon County","017","0170","Bourbon",12825
"G2100230","1800","Kentucky","21","210","Bracken County","023","0230","Bracken",2606
"G2100270","1800","Kentucky","21","210","Breckinridge County","027","0270","Breckinridge",807
"G2100290","1800","Kentucky","21","210","Bullitt County","029","0290","Bullitt",3542
"G2100370","1800","Kentucky","21","210","Campbell County","037","0370","Campbell",1903
"G2100470","1800","Kentucky","21","210","Christian County","047","0470","Christian",2318
"G2100490","1800","Kentucky","21","210","Clark County","049","0490","Clark",7653
"G2100570","1800","Kentucky","21","210","Cumberland County","057","0570","Cumberland",3284
"G2100670","1800","Kentucky","21","210","Fayette County","067","0670","Fayette",14028
"G2100690","1800","Kentucky","21","210","Fleming County","069","0690","Fleming",5016
"G2100710","1800","Kentucky","21","210","Floyd County","071","0710","Floyd",478
"G2100730","1800","Kentucky","21","210","Franklin County","073","0730","Franklin",5078
"G2100770","1800","Kentucky","21","210","Gallatin County","077","0770","Gallatin",1291
"G2100790","1800","Kentucky","21","210","Garrard County","079","0790","Garrard",6186
"G2100870","1800","Kentucky","21","210","Green County","087","0870","Green",6096
"G2100930","1800","Kentucky","21","210","Hardin County","093","0930","Hardin",3653
"G2100970","1800","Kentucky","21","210","Harrison County","097","0970","Harrison",4350
"G2101010","1800","Kentucky","21","210","Henderson County","101","1010","Henderson",1468
"G2101030","1800","Kentucky","21","210","Henry County","103","1030","Henry",3258
"G2101110","1800","Kentucky","21","210","Jefferson County","111","1110","Jefferson",8754
"G2101130","1800","Kentucky","21","210","Jessamine County","113","1130","Jessamine",5461
"G2101210","1800","Kentucky","21","210","Knox County","121","1210","Knox",1109
"G2101370","1800","Kentucky","21","210","Lincoln County","137","1370","Lincoln",8621
"G2101390","1800","Kentucky","21","210","Livingston County","139","1390","Livingston",2856
"G2101410","1800","Kentucky","21","210","Logan County","141","1410","Logan",5807
"G2101510","1800","Kentucky","21","210","Madison County","151","1510","Madison",10490
"G2101610","1800","Kentucky","21","210","Mason County","161","1610","Mason",12182
"G2101670","1800","Kentucky","21","210","Mercer County","167","1670","Mercer",9646
"G2101730","1800","Kentucky","21","210","Montgomery County","173","1730","Montgomery",7082
"G2101770","1800","Kentucky","21","210","Muhlenberg County","177","1770","Muhlenberg",1443
