GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1920,A08AA1920,A08AB1920
"G0100010","1920","Alabama","01","010","Autauga County","001","0010","Autauga",18908,9298,9610
"G0100030","1920","Alabama","01","010","Baldwin County","003","0030","Baldwin",20730,10668,10062
"G0100050","1920","Alabama","01","010","Barbour County","005","0050","Barbour",32067,15574,16493
"G0100070","1920","Alabama","01","010","Bibb County","007","0070","Bibb",23144,11908,11236
"G0100090","1920","Alabama","01","010","Blount County","009","0090","Blount",25538,12944,12594
"G0100110","1920","Alabama","01","010","Bullock County","011","0110","Bullock",25333,12239,13094
"G0100130","1920","Alabama","01","010","Butler County","013","0130","Butler",29531,14418,15113
"G0100150","1920","Alabama","01","010","Calhoun County","015","0150","Calhoun",47822,23818,24004
"G0100170","1920","Alabama","01","010","Chambers County","017","0170","Chambers",41201,20191,21010
"G0100190","1920","Alabama","01","010","Cherokee County","019","0190","Cherokee",20862,10600,10262
"G0100210","1920","Alabama","01","010","Chilton County","021","0210","Chilton",22770,11551,11219
"G0100230","1920","Alabama","01","010","Choctaw County","023","0230","Choctaw",20753,10510,10243
"G0100250","1920","Alabama","01","010","Clarke County","025","0250","Clarke",26409,13242,13167
"G0100270","1920","Alabama","01","010","Clay County","027","0270","Clay",22645,11349,11296
"G0100290","1920","Alabama","01","010","Cleburne County","029","0290","Cleburne",13360,6719,6641
"G0100310","1920","Alabama","01","010","Coffee County","031","0310","Coffee",30070,15190,14880
"G0100330","1920","Alabama","01","010","Colbert County","033","0330","Colbert",31997,16570,15427
"G0100350","1920","Alabama","01","010","Conecuh County","035","0350","Conecuh",24593,12127,12466
"G0100370","1920","Alabama","01","010","Coosa County","037","0370","Coosa",14839,7431,7408
"G0100390","1920","Alabama","01","010","Covington County","039","0390","Covington",38103,19433,18670
"G0100410","1920","Alabama","01","010","Crenshaw County","041","0410","Crenshaw",23017,11468,11549
"G0100430","1920","Alabama","01","010","Cullman County","043","0430","Cullman",33034,16712,16322
"G0100450","1920","Alabama","01","010","Dale County","045","0450","Dale",22711,11312,11399
"G0100470","1920","Alabama","01","010","Dallas County","047","0470","Dallas",54697,26013,28684
"G0100490","1920","Alabama","01","010","DeKalb County","049","0490","Dekalb",34426,17375,17051
"G0100510","1920","Alabama","01","010","Elmore County","051","0510","Elmore",28085,14140,13945
"G0100530","1920","Alabama","01","010","Escambia County","053","0530","Escambia",22464,11187,11277
"G0100550","1920","Alabama","01","010","Etowah County","055","0550","Etowah",47275,24053,23222
"G0100570","1920","Alabama","01","010","Fayette County","057","0570","Fayette",18365,9265,9100
"G0100590","1920","Alabama","01","010","Franklin County","059","0590","Franklin",22011,11104,10907
"G0100610","1920","Alabama","01","010","Geneva County","061","0610","Geneva",29315,14694,14621
"G0100630","1920","Alabama","01","010","Greene County","063","0630","Greene",18133,8694,9439
"G0100650","1920","Alabama","01","010","Hale County","065","0650","Hale",24289,11783,12506
"G0100670","1920","Alabama","01","010","Henry County","067","0670","Henry",21547,10664,10883
"G0100690","1920","Alabama","01","010","Houston County","069","0690","Houston",37334,18584,18750
"G0100710","1920","Alabama","01","010","Jackson County","071","0710","Jackson",35864,18379,17485
"G0100730","1920","Alabama","01","010","Jefferson County","073","0730","Jefferson",310054,158059,151995
"G0100750","1920","Alabama","01","010","Lamar County","075","0750","Lamar",18149,9213,8936
"G0100770","1920","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",39556,20180,19376
"G0100790","1920","Alabama","01","010","Lawrence County","079","0790","Lawrence",24307,12227,12080
"G0100810","1920","Alabama","01","010","Lee County","081","0810","Lee",32821,16033,16788
"G0100830","1920","Alabama","01","010","Limestone County","083","0830","Limestone",31341,15816,15525
"G0100850","1920","Alabama","01","010","Lowndes County","085","0850","Lowndes",25406,12178,13228
"G0100870","1920","Alabama","01","010","Macon County","087","0870","Macon",23561,11221,12340
"G0100890","1920","Alabama","01","010","Madison County","089","0890","Madison",51268,25556,25712
"G0100910","1920","Alabama","01","010","Marengo County","091","0910","Marengo",36065,17421,18644
"G0100930","1920","Alabama","01","010","Marion County","093","0930","Marion",22008,11099,10909
"G0100950","1920","Alabama","01","010","Marshall County","095","0950","Marshall",32669,16446,16223
"G0100970","1920","Alabama","01","010","Mobile County","097","0970","Mobile",100117,49430,50687
"G0100990","1920","Alabama","01","010","Monroe County","099","0990","Monroe",28884,14439,14445
"G0101010","1920","Alabama","01","010","Montgomery County","101","1010","Montgomery",80853,38391,42462
"G0101030","1920","Alabama","01","010","Morgan County","103","1030","Morgan",40196,20285,19911
"G0101050","1920","Alabama","01","010","Perry County","105","1050","Perry",25373,12305,13068
"G0101070","1920","Alabama","01","010","Pickens County","107","1070","Pickens",25353,12688,12665
"G0101090","1920","Alabama","01","010","Pike County","109","1090","Pike",31631,15495,16136
"G0101110","1920","Alabama","01","010","Randolph County","111","1110","Randolph",27064,13575,13489
"G0101130","1920","Alabama","01","010","Russell County","113","1130","Russell",27448,13092,14356
"G0101150","1920","Alabama","01","010","St. Clair County","115","1150","St Clair",23383,11906,11477
"G0101170","1920","Alabama","01","010","Shelby County","117","1170","Shelby",27097,13968,13129
"G0101190","1920","Alabama","01","010","Sumter County","119","1190","Sumter",25569,12433,13136
"G0101210","1920","Alabama","01","010","Talladega County","121","1210","Talladega",41005,20348,20657
"G0101230","1920","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa",29744,14900,14844
"G0101250","1920","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa",53680,26945,26735
