GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA2000,A08AA2000,A08AB2000,B18AA2000,B18AB2000,B18AC2000,B18AD2000,B18AE2000
"G0100010","2000","Alabama","01","010","Autauga County","001","0010","Autauga County",43671,21221,22450,35221,7473,194,378,405
"G0100030","2000","Alabama","01","010","Baldwin County","003","0030","Baldwin County",140415,68848,71567,122366,14444,809,1330,1466
"G0100050","2000","Alabama","01","010","Barbour County","005","0050","Barbour County",29038,14970,14068,14887,13451,131,357,212
"G0100070","2000","Alabama","01","010","Bibb County","007","0070","Bibb County",20826,10745,10081,15966,4624,49,80,107
"G0100090","2000","Alabama","01","010","Blount County","009","0090","Blount County",51024,25476,25548,48512,606,250,1137,519
"G0100110","2000","Alabama","01","010","Bullock County","011","0110","Bullock County",11714,6140,5574,2958,8564,44,66,82
"G0100130","2000","Alabama","01","010","Butler County","013","0130","Butler County",21399,10019,11380,12492,8732,45,46,84
"G0100150","2000","Alabama","01","010","Calhoun County","015","0150","Calhoun County",112249,53702,58547,88537,20810,445,1376,1081
"G0100170","2000","Alabama","01","010","Chambers County","017","0170","Chambers County",36583,17285,19298,22271,13943,49,111,209
"G0100190","2000","Alabama","01","010","Cherokee County","019","0190","Cherokee County",23988,11794,12194,22268,1330,75,117,198
"G0100210","2000","Alabama","01","010","Chilton County","021","0210","Chilton County",39593,19581,20012,34330,4200,111,677,275
"G0100230","2000","Alabama","01","010","Choctaw County","023","0230","Choctaw County",15922,7489,8433,8779,7027,25,24,67
"G0100250","2000","Alabama","01","010","Clarke County","025","0250","Clarke County",27867,13180,14687,15589,11989,62,91,136
"G0100270","2000","Alabama","01","010","Clay County","027","0270","Clay County",14254,6952,7302,11776,2238,45,83,112
"G0100290","2000","Alabama","01","010","Cleburne County","029","0290","Cleburne County",14123,7037,7086,13380,523,42,69,109
"G0100310","2000","Alabama","01","010","Coffee County","031","0310","Coffee County",43615,21303,22312,33631,8013,396,845,730
"G0100330","2000","Alabama","01","010","Colbert County","033","0330","Colbert County",54984,26311,28673,44825,9137,205,330,487
"G0100350","2000","Alabama","01","010","Conecuh County","035","0350","Conecuh County",14089,6667,7422,7806,6136,28,35,84
"G0100370","2000","Alabama","01","010","Coosa County","037","0370","Coosa County",12202,6232,5970,7802,4172,39,82,107
"G0100390","2000","Alabama","01","010","Covington County","039","0390","Covington County",37631,17992,19639,32436,4648,181,133,233
"G0100410","2000","Alabama","01","010","Crenshaw County","041","0410","Crenshaw County",13665,6464,7201,10088,3388,51,43,95
