GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B21AA1970,B21AB1970,B21AC1970,B21AD1970,B21AE1970,B21AF1970,B21AG1970,B21AH1970,B21AI1970,B21AJ1970
"G0100010","1970","Alabama","01","010","Autauga County","001","0010","Autauga",8652,3286,2,7,,8859,3625,2,27,
"G0100030","1970","Alabama","01","010","Baldwin County","003","0030","Baldwin",23913,5048,33,38,,24737,5521,51,41,
"G0100050","1970","Alabama","01","010","Barbour County","005","0050","Barbour",5763,4656,4,4,,6371,5733,6,6,
"G0100070","1970","Alabama","01","010","Bibb County","007","0070","Bibb",4895,1855,0,4,,5058,1995,1,4,
"G0100090","1970","Alabama","01","010","Blount County","009","0090","Blount",12933,303,4,2,,13272,326,11,2,
"G0100110","1970","Alabama","01","010","Bullock County","011","0110","Bullock",1868,3632,0,0,,1989,4333,2,0,
"G0100130","1970","Alabama","01","010","Butler County","013","0130","Butler",6253,4095,1,7,,6921,4725,2,3,
"G0100150","1970","Alabama","01","010","Calhoun County","015","0150","Calhoun",41469,8113,39,101,,43717,9471,46,136,
"G0100170","1970","Alabama","01","010","Chambers County","017","0170","Chambers",11332,5884,4,7,,12363,6753,6,7,
"G0100190","1970","Alabama","01","010","Cherokee County","019","0190","Cherokee",7101,666,3,4,,7098,727,1,6,
"G0100210","1970","Alabama","01","010","Chilton County","021","0210","Chilton",10591,1622,0,1,,11171,1788,4,3,
"G0100230","1970","Alabama","01","010","Choctaw County","023","0230","Choctaw",4539,3520,0,3,,4737,3789,0,1,
"G0100250","1970","Alabama","01","010","Clarke County","025","0250","Clarke",7293,5682,4,1,,7715,6019,4,6,
"G0100270","1970","Alabama","01","010","Clay County","027","0270","Clay",5159,962,2,8,,5419,1079,3,4,
"G0100290","1970","Alabama","01","010","Cleburne County","029","0290","Cleburne",5056,323,3,2,,5290,317,3,2,
"G0100310","1970","Alabama","01","010","Coffee County","031","0310","Coffee",14212,2756,7,11,,14641,3209,13,23,
"G0100330","1970","Alabama","01","010","Colbert County","033","0330","Colbert",20008,3901,14,11,,21097,4579,6,16,
"G0100350","1970","Alabama","01","010","Conecuh County","035","0350","Conecuh",4233,3296,1,1,,4421,3690,1,2,
"G0100370","1970","Alabama","01","010","Coosa County","037","0370","Coosa",3329,1882,5,5,,3577,1854,2,8,
"G0100390","1970","Alabama","01","010","Covington County","039","0390","Covington",13854,2285,4,3,,15161,2758,3,11,
"G0100410","1970","Alabama","01","010","Crenshaw County","041","0410","Crenshaw",4496,1764,4,10,,4890,2015,1,8,
"G0100430","1970","Alabama","01","010","Cullman County","043","0430","Cullman",25554,285,6,10,,26318,236,14,22,
"G0100450","1970","Alabama","01","010","Dale County","045","0450","Dale",25976,3415,55,366,,19841,3033,22,230,
"G0100470","1970","Alabama","01","010","Dallas County","047","0470","Dallas",12923,13228,6,22,,13407,15664,12,34,
"G0100490","1970","Alabama","01","010","DeKalb County","049","0490","De Kalb",19956,379,9,10,,21167,442,7,11,
"G0100510","1970","Alabama","01","010","Elmore County","051","0510","Elmore",11975,4625,4,10,,12070,4829,7,15,
"G0100530","1970","Alabama","01","010","Escambia County","053","0530","Escambia",11780,5510,261,12,,11968,5091,280,4,
"G0100550","1970","Alabama","01","010","Etowah County","055","0550","Etowah",39102,6087,13,30,,41908,6957,15,32,
"G0100570","1970","Alabama","01","010","Fayette County","057","0570","Fayette",6869,1059,0,4,,7120,1195,1,4,
"G0100590","1970","Alabama","01","010","Franklin County","059","0590","Franklin",11023,580,0,2,,11705,618,1,4,
"G0100610","1970","Alabama","01","010","Geneva County","061","0610","Geneva",9312,1342,10,2,,9717,1524,14,3,
"G0100630","1970","Alabama","01","010","Greene County","063","0630","Greene",1257,3706,0,3,,1362,4321,1,0,
"G0100650","1970","Alabama","01","010","Hale County","065","0650","Hale",2554,4947,0,0,,2782,5595,2,8,
"G0100670","1970","Alabama","01","010","Henry County","067","0670","Henry",3781,2554,1,1,,4126,2787,1,3,
"G0100690","1970","Alabama","01","010","Houston County","069","0690","Houston",20853,6201,19,24,,22216,7207,19,35,
"G0100710","1970","Alabama","01","010","Jackson County","071","0710","Jackson",18297,930,7,10,,18878,1050,15,15,
"G0100730","1970","Alabama","01","010","Jefferson County","073","0730","Jefferson",207906,95233,166,352,,229527,111231,205,371,
"G0100750","1970","Alabama","01","010","Lamar County","075","0750","Lamar",5963,953,0,6,,6403,1002,0,8,
"G0100770","1970","Alabama","01","010","Lauderdale County","077","0770","Lauderdale",29508,3348,3,18,,31358,3848,6,22,
"G0100790","1970","Alabama","01","010","Lawrence County","079","0790","Lawrence",11056,2429,0,3,,11105,2685,1,2,
"G0100810","1970","Alabama","01","010","Lee County","081","0810","Lee",22543,7951,7,82,,21566,9061,4,54,
"G0100830","1970","Alabama","01","010","Limestone County","083","0830","Limestone",17049,3379,2,14,,17479,3744,7,25,
"G0100850","1970","Alabama","01","010","Lowndes County","085","0850","Lowndes",1420,4727,1,2,,1556,5190,0,1,
"G0100870","1970","Alabama","01","010","Macon County","087","0870","Macon",2386,9834,6,104,,2159,10313,2,37,
"G0100890","1970","Alabama","01","010","Madison County","089","0890","Madison",78628,13082,66,305,,79176,14915,45,323,
"G0100910","1970","Alabama","01","010","Marengo County","091","0910","Marengo",5135,6244,4,9,,5505,6913,2,7,
"G0100930","1970","Alabama","01","010","Marion County","093","0930","Marion",11240,326,4,5,,11866,336,6,5,
"G0100950","1970","Alabama","01","010","Marshall County","095","0950","Marshall",25713,533,7,31,,27324,560,7,36,
"G0100970","1970","Alabama","01","010","Mobile County","097","0970","Mobile",103776,48039,169,248,,110294,54344,177,261,
"G0100990","1970","Alabama","01","010","Monroe County","099","0990","Monroe",5494,4580,34,5,,5820,4917,26,7,
"G0101010","1970","Alabama","01","010","Montgomery County","101","1010","Montgomery",50414,27858,51,99,,56256,32913,66,133,
"G0101030","1970","Alabama","01","010","Morgan County","103","1030","Morgan",34306,3306,16,20,,35698,3926,15,19,
"G0101050","1970","Alabama","01","010","Perry County","105","1050","Perry",3085,4207,7,3,,3247,4826,7,6,
"G0101070","1970","Alabama","01","010","Pickens County","107","1070","Pickens",5767,3985,2,0,,6087,4481,2,2,
"G0101090","1970","Alabama","01","010","Pike County","109","1090","Pike",7926,4074,4,20,,8441,4568,1,4,
"G0101110","1970","Alabama","01","010","Randolph County","111","1110","Randolph",6854,1976,2,3,,7391,2099,3,3,
"G0101130","1970","Alabama","01","010","Russell County","113","1130","Russell",11993,9747,5,6,,12606,11010,8,19,
"G0101150","1970","Alabama","01","010","St. Clair County","115","1150","St Clair",11781,1816,4,3,,12262,2080,3,7,
"G0101170","1970","Alabama","01","010","Shelby County","117","1170","Shelby",15373,3074,10,11,,16195,3342,16,16,
"G0101190","1970","Alabama","01","010","Sumter County","119","1190","Sumter",2935,5297,1,1,,2789,5945,1,5,
"G0101210","1970","Alabama","01","010","Talladega County","121","1210","Talladega",21877,9569,14,25,,23303,10451,20,21,
"G0101230","1970","Alabama","01","010","Tallapoosa County","123","1230","Tallapoosa",11785,4402,6,2,,12680,4954,6,5,
"G0101250","1970","Alabama","01","010","Tuscaloosa County","125","1250","Tuscaloosa",43730,12876,12,75,,44161,15096,12,67,
"G0101270","1970","Alabama","01","010","Walker County","127","1270","Walker",25307,2089,10,8,,26328,2478,11,15,
"G0101290","1970","Alabama","01","010","Washington County","129","1290","Washington",5661,2361,29,0,,5654,2499,34,3,
"G0101310","1970","Alabama","01","010","Wilcox County","131","1310","Wilcox",2471,5384,0,1,,2669,5776,1,1,
"G0101330","1970","Alabama","01","010","Winston County","133","1330","Winston",8246,25,1,4,,8348,26,2,2,
"G0200100","1970","Alaska","02","020","Aleutian Islands","010","0100","Aleutian Islands",4309,216,36,1211,,1255,21,25,984,
"G0200200","1970","Alaska","02","020","Anchorage Municipality","020","0200","Anchorage",59231,2845,853,2192,,53734,2302,922,2463,
"G0200300","1970","Alaska","02","020","Angoon","030","0300","Angoon",65,0,188,12,,49,0,183,6,
"G0200400","1970","Alaska","02","020","Barrow","040","0400","Barrow",216,13,6,1198,,114,1,4,1111,
