GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AZ8AA1980,AZ8AB1980,AZ8AC1980,AZ8AD1980,AZ8AE1980,AZ8AF1980,AZ8AG1980,AZ8AH1980,AZ8AI1980,AZ8AJ1980
"G0100010","1980","Alabama","01","010","Autauga County","001","0010","AUTAUGA",12371,3428,53,0,,12475,3796,44,0,
"G0100030","1980","Alabama","01","010","Baldwin County","003","0030","BALDWIN",32383,5653,191,23,,33539,6382,241,41,
"G0100050","1980","Alabama","01","010","Barbour County","005","0050","BARBOUR",6610,4999,0,27,,7051,6004,0,38,
"G0100070","1980","Alabama","01","010","Bibb County","007","0070","BIBB",5902,1729,0,0,,6138,1946,0,0,
"G0100090","1980","Alabama","01","010","Blount County","009","0090","BLOUNT",17731,246,54,0,,17937,415,44,0,
"G0100110","1980","Alabama","01","010","Bullock County","011","0110","BULLOCK",0,3204,0,0,,0,3956,0,0,
"G0100130","1980","Alabama","01","010","Butler County","013","0130","BUTLER",6237,3842,0,0,,7018,4555,0,0,
"G0100150","1980","Alabama","01","010","Calhoun County","015","0150","CALHOUN",48006,9974,177,212,,49376,11031,106,329,
"G0100170","1980","Alabama","01","010","Chambers County","017","0170","CHAMBERS",11991,6411,0,0,,13295,7483,0,0,
"G0100190","1980","Alabama","01","010","Cherokee County","019","0190","CHEROKEE",8508,716,0,0,,8660,834,0,0,
"G0100210","1980","Alabama","01","010","Chilton County","021","0210","CHILTON",13137,1700,0,12,,13803,1931,0,29,
"G0100230","1980","Alabama","01","010","Choctaw County","023","0230","CHOCTAW",4640,3447,0,0,,4865,3872,0,0,
"G0100250","1980","Alabama","01","010","Clarke County","025","0250","CLARKE",7669,5672,42,0,,8095,6155,45,0,
"G0100270","1980","Alabama","01","010","Clay County","027","0270","CLAY",5552,0,0,0,,5875,0,0,0,
"G0100290","1980","Alabama","01","010","Cleburne County","029","0290","CLEBURNE",5886,306,0,0,,6032,341,0,0,
"G0100310","1980","Alabama","01","010","Coffee County","031","0310","COFFEE",15584,3057,59,12,,16073,3475,61,139,
"G0100330","1980","Alabama","01","010","Colbert County","033","0330","COLBERT",21998,4099,39,0,,23256,5047,24,0,
"G0100350","1980","Alabama","01","010","Conecuh County","035","0350","CONECUH",4555,0,0,0,,4777,0,0,0,
"G0100370","1980","Alabama","01","010","Coosa County","037","0370","COOSA",3612,0,0,0,,3808,0,0,0,
"G0100390","1980","Alabama","01","010","Covington County","039","0390","COVINGTON",15150,2150,0,38,,16717,2695,0,68,
"G0100410","1980","Alabama","01","010","Crenshaw County","041","0410","CRENSHAW",5016,1684,0,0,,5383,2009,0,0,
"G0100430","1980","Alabama","01","010","Cullman County","043","0430","CULLMAN",29653,240,64,0,,31241,310,39,0,
"G0100450","1980","Alabama","01","010","Dale County","045","0450","DALE",20292,4009,152,130,,18540,3819,196,355,
"G0100470","1980","Alabama","01","010","Dallas County","047","0470","DALLAS",11562,13595,0,20,,12837,15893,0,30,
"G0100490","1980","Alabama","01","010","DeKalb County","049","0490","DE KALB",25452,460,73,14,,27045,502,47,27,
"G0100510","1980","Alabama","01","010","Elmore County","051","0510","ELMORE",16633,4796,0,11,,16977,4859,0,54,
"G0100530","1980","Alabama","01","010","Escambia County","053","0530","ESCAMBIA",12832,5706,469,0,,13219,5670,486,0,
"G0100550","1980","Alabama","01","010","Etowah County","055","0550","ETOWAH",42538,6282,239,47,,45988,7491,247,99,
"G0100570","1980","Alabama","01","010","Fayette County","057","0570","FAYETTE",7909,1140,0,0,,8470,1232,0,0,
"G0100590","1980","Alabama","01","010","Franklin County","059","0590","FRANKLIN",13095,610,14,0,,13899,691,16,0,
"G0100610","1980","Alabama","01","010","Geneva County","061","0610","GENEVA",10270,1460,72,0,,10732,1637,51,0,
"G0100630","1980","Alabama","01","010","Greene County","063","0630","GREENE",1158,3932,0,0,,1267,4664,0,0,
"G0100650","1980","Alabama","01","010","Hale County","065","0650","HALE",2720,4599,0,0,,3038,5200,0,0,
"G0100670","1980","Alabama","01","010","Henry County","067","0670","HENRY",4518,2630,0,0,,4967,3169,0,0,
"G0100690","1980","Alabama","01","010","Houston County","069","0690","HOUSTON",27821,7532,161,150,,29696,8932,99,181,
"G0100710","1980","Alabama","01","010","Jackson County","071","0710","JACKSON",23976,1011,132,0,,25009,1079,138,0,
"G0100730","1980","Alabama","01","010","Jefferson County","073","0730","JEFFERSON",210972,102231,296,920,,233387,121485,466,1014,
"G0100750","1980","Alabama","01","010","Lamar County","075","0750","LAMAR",7056,978,0,0,,7379,1019,0,0,
"G0100770","1980","Alabama","01","010","Lauderdale County","077","0770","LAUDERDALE",34848,3530,118,40,,37423,4217,126,145,
"G0100790","1980","Alabama","01","010","Lawrence County","079","0790","LAWRENCE",12302,2426,0,0,,12719,2648,0,0,
"G0100810","1980","Alabama","01","010","Lee County","081","0810","LEE",29122,8647,52,209,,27889,9999,66,188,
"G0100830","1980","Alabama","01","010","Limestone County","083","0830","LIMESTONE",19129,3197,0,47,,20078,3388,0,85,
"G0100850","1980","Alabama","01","010","Lowndes County","085","0850","LOWNDES",0,4671,0,0,,0,5266,0,0,
"G0100870","1980","Alabama","01","010","Macon County","087","0870","MACON",2165,10507,0,47,,1914,12072,0,25,
"G0100890","1980","Alabama","01","010","Madison County","089","0890","MADISON",76210,18574,345,635,,78877,20425,341,884,
"G0100910","1980","Alabama","01","010","Marengo County","091","0910","MARENGO",0,6231,0,0,,0,7115,0,0,
"G0100930","1980","Alabama","01","010","Marion County","093","0930","MARION",14223,327,0,44,,14981,407,0,24,
"G0100950","1980","Alabama","01","010","Marshall County","095","0950","MARSHALL",31159,534,31,18,,33269,479,37,61,
"G0100970","1980","Alabama","01","010","Mobile County","097","0970","MOBILE",119916,53611,702,732,,126694,61372,620,804,
"G0100990","1980","Alabama","01","010","Monroe County","099","0990","MONROE",6178,4662,60,0,,6601,5080,70,0,
"G0101010","1980","Alabama","01","010","Montgomery County","101","1010","MONTGOMERY",56391,35529,61,291,,61651,42246,101,468,
