GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AE7AA1990,AE7AB1990,AE7AC1990,AE7AD1990,AE7AE1990,AE7AF1990,AE7AG1990,AE7AH1990,AE7AI1990,AE7AJ1990,AE7AK1990,AE7AL1990
"G0100010","1990","Alabama","01","010","Autauga County","001","0010","Autauga County",26997,6806,71,118,0,,147,39,0,2,42,
"G0100030","1990","Alabama","01","010","Baldwin County","003","0030","Baldwin County",83800,12592,621,216,29,,765,48,9,5,195,
"G0100050","1990","Alabama","01","010","Barbour County","005","0050","Barbour County",14054,11156,40,43,0,,64,38,6,1,15,
"G0100070","1990","Alabama","01","010","Bibb County","007","0070","Bibb County",13033,3468,25,11,0,,19,10,0,0,10,
"G0100090","1990","Alabama","01","010","Blount County","009","0090","Blount County",38275,519,129,33,6,,122,2,4,0,158,
"G0100110","1990","Alabama","01","010","Bullock County","011","0110","Bullock County",3011,7948,8,10,0,,25,38,0,0,2,
"G0100130","1990","Alabama","01","010","Butler County","013","0130","Butler County",13001,8783,24,19,0,,48,15,0,0,2,
"G0100150","1990","Alabama","01","010","Calhoun County","015","0150","Calhoun County",92154,21476,291,814,17,,719,102,5,55,401,
"G0100170","1990","Alabama","01","010","Chambers County","017","0170","Chambers County",23510,13187,36,12,4,,65,34,5,1,22,
"G0100190","1990","Alabama","01","010","Cherokee County","019","0190","Cherokee County",18118,1291,51,24,2,,36,0,0,0,21,
"G0100210","1990","Alabama","01","010","Chilton County","021","0210","Chilton County",28577,3664,63,37,1,,70,10,0,1,35,
"G0100230","1990","Alabama","01","010","Choctaw County","023","0230","Choctaw County",8889,7052,10,10,4,,24,25,0,2,2,
"G0100250","1990","Alabama","01","010","Clarke County","025","0250","Clarke County",15481,11572,45,35,4,,46,53,0,0,4,
"G0100270","1990","Alabama","01","010","Clay County","027","0270","Clay County",11021,2166,23,13,2,,23,0,0,0,4,
"G0100290","1990","Alabama","01","010","Cleburne County","029","0290","Cleburne County",12072,587,20,13,0,,12,0,0,0,26,
